Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	Active
ZINC04617941_172	Trypsin_1.sq	1	0.750	0.402	0.348	1
ZINC04617941_172	Trypsin_1.sq	2	0.750	0.402	0.348	1
ZINC04617942_143	Trypsin_1.sq	3	0.743	0.391	0.352	1
ZINC04617942_143	Trypsin_1.sq	4	0.743	0.391	0.352	1
ZINC03834187_74	Trypsin_1.sq	5	0.737	0.409	0.327	1
ZINC01545941_175	Trypsin_1.sq	6	0.721	0.442	0.279	0
ZINC03959444_58	Trypsin_1.sq	7	0.702	0.427	0.275	0
ZINC03815826_123	Trypsin_1.sq	8	0.698	0.381	0.317	1
ZINC03815826_123	Trypsin_1.sq	9	0.698	0.381	0.317	1
ZINC02130840_124	Trypsin_1.sq	10	0.681	0.450	0.231	0
ZINC01553076_147	Trypsin_1.sq	11	0.681	0.448	0.233	0
ZINC04222191_152	Trypsin_1.sq	12	0.672	0.468	0.204	0
ZINC04222194_98	Trypsin_1.sq	13	0.671	0.458	0.213	0
ZINC02712629_115	Trypsin_1.sq	14	0.671	0.452	0.219	0
ZINC03959453_192	Trypsin_1.sq	15	0.670	0.442	0.228	0
ZINC02712629_112	Trypsin_1.sq	16	0.670	0.446	0.224	0
ZINC03981735_168	Trypsin_1.sq	17	0.669	0.399	0.270	0
ZINC02130842_7	Trypsin_1.sq	18	0.668	0.430	0.237	0
ZINC03840473_80	Trypsin_1.sq	19	0.666	0.470	0.196	0
ZINC04222193_88	Trypsin_1.sq	20	0.665	0.463	0.201	0
ZINC03914911_0	Trypsin_1.sq	21	0.663	0.409	0.254	0
ZINC03815825_52	Trypsin_1.sq	22	0.661	0.383	0.278	1
ZINC03815825_26	Trypsin_1.sq	23	0.660	0.381	0.279	1
ZINC01549835_107	Trypsin_1.sq	24	0.659	0.424	0.235	0
ZINC02043468_139	Trypsin_1.sq	25	0.657	0.450	0.208	1
ZINC03959464_49	Trypsin_1.sq	26	0.657	0.440	0.218	0
ZINC03818733_107	Trypsin_1.sq	27	0.656	0.469	0.187	0
ZINC03815826_71	Trypsin_1.sq	28	0.655	0.379	0.277	1
ZINC03839227_65	Trypsin_1.sq	29	0.655	0.445	0.211	0
ZINC03980301_22	Trypsin_1.sq	30	0.655	0.462	0.192	0
ZINC03834132_48	Trypsin_1.sq	31	0.654	0.457	0.197	1
ZINC03345168_97	Trypsin_1.sq	32	0.651	0.447	0.204	0
ZINC03938550_166	Trypsin_1.sq	33	0.649	0.424	0.225	0
ZINC03938551_178	Trypsin_1.sq	34	0.649	0.425	0.223	0
ZINC03948081_161	Trypsin_1.sq	35	0.649	0.365	0.284	0
ZINC03959484_35	Trypsin_1.sq	36	0.648	0.415	0.233	0
ZINC02128935_141	Trypsin_1.sq	37	0.648	0.438	0.210	0
ZINC03834135_195	Trypsin_1.sq	38	0.647	0.459	0.188	1
ZINC02712629_182	Trypsin_1.sq	39	0.645	0.439	0.207	0
ZINC03820719_191	Trypsin_1.sq	40	0.643	0.475	0.168	0
ZINC01631658_167	Trypsin_1.sq	41	0.643	0.419	0.223	0
ZINC02654818_85	Trypsin_1.sq	42	0.643	0.432	0.211	0
ZINC03941269_9	Trypsin_1.sq	43	0.643	0.431	0.212	0
ZINC03820048_40	Trypsin_1.sq	44	0.642	0.411	0.231	0
ZINC03600291_68	Trypsin_1.sq	45	0.642	0.422	0.219	0
ZINC03785241_82	Trypsin_1.sq	46	0.641	0.507	0.134	0
ZINC03818733_76	Trypsin_1.sq	47	0.641	0.403	0.238	0
ZINC03818733_76	Trypsin_1.sq	48	0.641	0.403	0.238	0
ZINC03820532_141	Trypsin_1.sq	49	0.640	0.421	0.219	0
ZINC03834123_85	Trypsin_1.sq	50	0.639	0.443	0.197	1
ZINC03834119_146	Trypsin_1.sq	51	0.639	0.446	0.193	1
ZINC04393950_38	Trypsin_1.sq	52	0.639	0.466	0.173	0
ZINC01909079_145	Trypsin_1.sq	53	0.639	0.422	0.217	0
ZINC03980301_131	Trypsin_1.sq	54	0.639	0.418	0.221	0
ZINC02712630_7	Trypsin_1.sq	55	0.639	0.408	0.231	0
ZINC03819987_1	Trypsin_1.sq	56	0.638	0.403	0.236	0
ZINC03820532_19	Trypsin_1.sq	57	0.638	0.413	0.225	0
ZINC03977123_117	Trypsin_1.sq	58	0.638	0.523	0.115	0
ZINC00596915_159	Trypsin_1.sq	59	0.637	0.429	0.208	0
ZINC04001519_73	Trypsin_1.sq	60	0.634	0.393	0.242	0
ZINC01548784_36	Trypsin_1.sq	61	0.634	0.449	0.185	0
ZINC02654819_115	Trypsin_1.sq	62	0.634	0.435	0.198	0
ZINC03834155_161	Trypsin_1.sq	63	0.633	0.455	0.178	1
ZINC03834129_145	Trypsin_1.sq	64	0.633	0.447	0.186	1
ZINC03670360_144	Trypsin_1.sq	65	0.632	0.480	0.153	0
ZINC00771629_174	Trypsin_1.sq	66	0.632	0.482	0.150	0
ZINC03874144_156	Trypsin_1.sq	67	0.632	0.428	0.204	0
