Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	ColorScore	Overlap	Unnamed: 14	Active
ZINC04617942_123	1G3E.pdb_1GHZ.pdb_1QB6.pdb	1	0.695	0.382	0.313	2.007	1.319	0.688	0.715	0.35	0.365	-10.152	1999.792		1
ZINC04617942_123	1G3E.pdb_1GHZ.pdb_1QB6.pdb	2	0.695	0.382	0.313	2.007	1.319	0.688	0.715	0.35	0.365	-10.152	1999.792		1
ZINC04617941_172	1G3E.pdb_1GHZ.pdb_1QB6.pdb	3	0.682	0.386	0.296	2.099	1.441	0.658	0.695	0.345	0.349	-9.716	1971.166		1
ZINC04617941_172	1G3E.pdb_1GHZ.pdb_1QB6.pdb	4	0.682	0.386	0.296	2.099	1.441	0.658	0.695	0.345	0.349	-9.716	1971.166		1
ZINC03834187_120	1G3E.pdb_1GHZ.pdb_1QB6.pdb	5	0.653	0.388	0.265	1.915	1.312	0.603	0.676	0.356	0.32	-8.908	2033.213		1
ZINC01903301_196	1G3E.pdb_1GHZ.pdb_1QB6.pdb	6	0.651	0.404	0.247	1.595	1.083	0.512	0.715	0.392	0.323	-9.025	2250.892		0
ZINC01545941_52	1G3E.pdb_1GHZ.pdb_1QB6.pdb	7	0.64	0.36	0.28	1.67	1.104	0.566	0.705	0.348	0.357	-9.978	1995.306		0
ZINC03959444_58	1G3E.pdb_1GHZ.pdb_1QB6.pdb	8	0.625	0.407	0.218	1.794	1.229	0.566	0.64	0.378	0.262	-7.263	2167.24		0
ZINC02043468_139	1G3E.pdb_1GHZ.pdb_1QB6.pdb	9	0.625	0.434	0.191	1.81	1.326	0.484	0.633	0.392	0.24	-6.672	2245.735		1
ZINC03959464_43	1G3E.pdb_1GHZ.pdb_1QB6.pdb	10	0.619	0.416	0.203	1.831	1.299	0.532	0.627	0.38	0.247	-6.838	2175.314		0
ZINC04222194_98	1G3E.pdb_1GHZ.pdb_1QB6.pdb	11	0.619	0.448	0.171	1.953	1.467	0.486	0.601	0.392	0.209	-5.772	2243.035		0
ZINC03959453_192	1G3E.pdb_1GHZ.pdb_1QB6.pdb	12	0.618	0.41	0.208	1.802	1.284	0.518	0.634	0.376	0.258	-7.158	2154.104		0
ZINC04222191_153	1G3E.pdb_1GHZ.pdb_1QB6.pdb	13	0.618	0.452	0.166	1.841	1.391	0.45	0.61	0.401	0.208	-5.772	2297.197		0
ZINC03815826_123	1G3E.pdb_1GHZ.pdb_1QB6.pdb	14	0.615	0.372	0.243	1.868	1.378	0.49	0.663	0.337	0.325	-9.111	1925.645		1
ZINC01553076_147	1G3E.pdb_1GHZ.pdb_1QB6.pdb	16	0.615	0.436	0.178	1.808	1.389	0.42	0.625	0.389	0.237	-6.59	2224.707		0
ZINC03815826_123	1G3E.pdb_1GHZ.pdb_1QB6.pdb	15	0.615	0.372	0.243	1.868	1.378	0.49	0.663	0.337	0.325	-9.111	1925.645		1
ZINC03834132_48	1G3E.pdb_1GHZ.pdb_1QB6.pdb	17	0.613	0.433	0.179	1.802	1.321	0.48	0.614	0.392	0.223	-6.169	2243.561		1
ZINC03870904_106	1G3E.pdb_1GHZ.pdb_1QB6.pdb	18	0.61	0.425	0.185	1.765	1.246	0.519	0.615	0.392	0.223	-6.166	2248.108		0
ZINC03820719_191	1G3E.pdb_1GHZ.pdb_1QB6.pdb	19	0.602	0.467	0.134	1.801	1.407	0.394	0.581	0.412	0.169	-4.681	2357.452		0
ZINC03834119_146	1G3E.pdb_1GHZ.pdb_1QB6.pdb	20	0.601	0.426	0.175	1.783	1.288	0.495	0.602	0.389	0.213	-5.886	2227.696		1
ZINC03834135_131	1G3E.pdb_1GHZ.pdb_1QB6.pdb	21	0.599	0.424	0.175	1.8	1.305	0.495	0.598	0.385	0.213	-5.892	2206.664		1
ZINC03818733_107	1G3E.pdb_1GHZ.pdb_1QB6.pdb	22	0.598	0.462	0.136	1.928	1.551	0.378	0.572	0.397	0.175	-4.859	2266.537		0
ZINC02712629_115	1G3E.pdb_1GHZ.pdb_1QB6.pdb	23	0.598	0.438	0.16	1.58	1.235	0.345	0.635	0.404	0.23	-6.452	2319.999		0
ZINC04222193_88	1G3E.pdb_1GHZ.pdb_1QB6.pdb	24	0.598	0.441	0.157	1.83	1.378	0.452	0.588	0.394	0.194	-5.367	2252.615		0
ZINC03785241_100	1G3E.pdb_1GHZ.pdb_1QB6.pdb	25	0.596	0.482	0.114	1.601	1.317	0.284	0.592	0.432	0.16	-4.47	2476.282		0
ZINC03819383_84	1G3E.pdb_1GHZ.pdb_1QB6.pdb	26	0.594	0.377	0.216	1.633	1.097	0.536	0.631	0.365	0.266	-7.387	2095.809		0
ZINC03815826_71	1G3E.pdb_1GHZ.pdb_1QB6.pdb	27	0.594	0.371	0.222	1.834	1.378	0.455	0.64	0.337	0.303	-8.472	1924.854		1
ZINC03820048_40	1G3E.pdb_1GHZ.pdb_1QB6.pdb	28	0.593	0.378	0.215	1.882	1.293	0.589	0.601	0.348	0.253	-6.995	1988.683		0
ZINC02712629_112	1G3E.pdb_1GHZ.pdb_1QB6.pdb	29	0.592	0.427	0.165	1.572	1.217	0.355	0.632	0.397	0.236	-6.604	2274.413		0
