Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	Active
ZINC03815825_54	Trypsin_3.sq	1	0.679	0.380	0.298	1
ZINC04150044_17	Trypsin_3.sq	2	0.643	0.438	0.206	0
ZINC03815825_23	Trypsin_3.sq	3	0.636	0.386	0.250	1
ZINC03790022_16	Trypsin_3.sq	4	0.632	0.458	0.174	0
ZINC03815826_136	Trypsin_3.sq	5	0.627	0.383	0.244	1
ZINC03790011_37	Trypsin_3.sq	6	0.625	0.452	0.173	0
ZINC03959453_190	Trypsin_3.sq	7	0.621	0.407	0.214	0
ZINC04633604_89	Trypsin_3.sq	8	0.620	0.391	0.229	0
ZINC00597948_101	Trypsin_3.sq	9	0.617	0.391	0.226	0
ZINC04393950_180	Trypsin_3.sq	10	0.617	0.466	0.151	0
ZINC03834125_184	Trypsin_3.sq	11	0.615	0.390	0.225	1
ZINC02242841_175	Trypsin_3.sq	12	0.615	0.416	0.199	0
ZINC04617942_184	Trypsin_3.sq	13	0.611	0.369	0.242	1
ZINC04617942_184	Trypsin_3.sq	14	0.611	0.369	0.242	1
ZINC03785211_119	Trypsin_3.sq	15	0.611	0.435	0.175	0
ZINC03987397_138	Trypsin_3.sq	16	0.607	0.374	0.234	0
ZINC02975662_195	Trypsin_3.sq	17	0.605	0.461	0.144	0
ZINC01535955_119	Trypsin_3.sq	18	0.604	0.430	0.174	0
ZINC03850343_110	Trypsin_3.sq	19	0.602	0.398	0.204	0
ZINC01548106_189	Trypsin_3.sq	20	0.601	0.393	0.209	0
ZINC03987402_65	Trypsin_3.sq	21	0.601	0.368	0.232	0
ZINC03815826_100	Trypsin_3.sq	22	0.599	0.373	0.226	1
ZINC03815826_100	Trypsin_3.sq	23	0.599	0.373	0.226	1
ZINC03928466_138	Trypsin_3.sq	24	0.594	0.385	0.209	0
ZINC04617941_162	Trypsin_3.sq	25	0.593	0.370	0.222	1
ZINC04617941_162	Trypsin_3.sq	26	0.593	0.370	0.222	1
ZINC03938552_133	Trypsin_3.sq	27	0.593	0.369	0.223	0
ZINC03785241_35	Trypsin_3.sq	28	0.591	0.454	0.137	0
ZINC01372730_87	Trypsin_3.sq	29	0.590	0.422	0.168	0
ZINC03785220_140	Trypsin_3.sq	30	0.589	0.428	0.161	0
ZINC04176349_90	Trypsin_3.sq	31	0.589	0.439	0.150	0
ZINC03627213_4	Trypsin_3.sq	32	0.588	0.463	0.125	0
ZINC03185845_60	Trypsin_3.sq	33	0.587	0.381	0.206	0
ZINC03987403_117	Trypsin_3.sq	34	0.587	0.376	0.211	0
ZINC03959484_163	Trypsin_3.sq	35	0.586	0.389	0.197	0
ZINC01631479_49	Trypsin_3.sq	36	0.586	0.428	0.158	0
ZINC03933732_107	Trypsin_3.sq	37	0.585	0.386	0.199	0
ZINC02222760_146	Trypsin_3.sq	38	0.583	0.457	0.126	0
ZINC03545191_97	Trypsin_3.sq	39	0.582	0.390	0.191	0
ZINC03938554_142	Trypsin_3.sq	40	0.581	0.351	0.230	0
ZINC03987406_65	Trypsin_3.sq	41	0.580	0.375	0.205	0
ZINC03941269_9	Trypsin_3.sq	42	0.579	0.379	0.200	0
ZINC03962673_14	Trypsin_3.sq	43	0.579	0.402	0.178	0
ZINC03820532_60	Trypsin_3.sq	44	0.579	0.396	0.183	0
ZINC03962674_47	Trypsin_3.sq	45	0.577	0.405	0.173	0
ZINC03874810_176	Trypsin_3.sq	46	0.577	0.406	0.171	0
ZINC04222430_79	Trypsin_3.sq	47	0.577	0.451	0.126	0
ZINC03952614_163	Trypsin_3.sq	48	0.576	0.385	0.191	0
ZINC02138945_117	Trypsin_3.sq	49	0.576	0.426	0.150	0
ZINC03816706_112	Trypsin_3.sq	50	0.576	0.432	0.144	0
ZINC03985882_99	Trypsin_3.sq	51	0.576	0.377	0.199	0
ZINC03816706_137	Trypsin_3.sq	52	0.576	0.430	0.146	0
ZINC03841640_94	Trypsin_3.sq	53	0.576	0.445	0.130	0
ZINC03997172_76	Trypsin_3.sq	54	0.575	0.409	0.165	0
ZINC03859051_53	Trypsin_3.sq	55	0.574	0.412	0.162	0
ZINC03841621_177	Trypsin_3.sq	56	0.574	0.456	0.119	0
ZINC00587714_81	Trypsin_3.sq	57	0.574	0.444	0.130	0
ZINC03841660_40	Trypsin_3.sq	58	0.573	0.449	0.124	0
ZINC02654818_90	Trypsin_3.sq	59	0.573	0.417	0.156	0
ZINC03818898_119	Trypsin_3.sq	60	0.573	0.385	0.188	0
ZINC03818898_119	Trypsin_3.sq	61	0.573	0.385	0.188	0
ZINC03997172_54	Trypsin_3.sq	62	0.573	0.410	0.162	0
ZINC04356859_47	Trypsin_3.sq	63	0.572	0.394	0.178	0
ZINC03980301_13	Trypsin_3.sq	64	0.572	0.421	0.151	0
ZINC03819390_199	Trypsin_3.sq	65	0.572	0.396	0.176	0
ZINC03981735_60	Trypsin_3.sq	66	0.572	0.414	0.157	0
ZINC03820532_36	Trypsin_3.sq	67	0.572	0.390	0.182	0
ZINC01489009_90	Trypsin_3.sq	68	0.572	0.408	0.163	0
ZINC03841617_152	Trypsin_3.sq	69	0.571	0.448	0.123	0
ZINC03670360_135	Trypsin_3.sq	70	0.571	0.401	0.170	0
ZINC02860445_67	Trypsin_3.sq	71	0.570	0.428	0.142	0
ZINC02129136_123	Trypsin_3.sq	72	0.570	0.419	0.151	0
ZINC03816706_116	Trypsin_3.sq	73	0.570	0.351	0.219	0
ZINC03447479_166	Trypsin_3.sq	74	0.568	0.394	0.174	0
ZINC03832370_132	Trypsin_3.sq	75	0.567	0.350	0.217	1
ZINC03819377_43	Trypsin_3.sq	76	0.567	0.397	0.170	0
ZINC01902820_186	Trypsin_3.sq	77	0.567	0.398	0.170	0
ZINC02654819_66	Trypsin_3.sq	78	0.567	0.403	0.164	0
ZINC03971723_81	Trypsin_3.sq	79	0.566	0.409	0.157	0
ZINC03500143_123	Trypsin_3.sq	80	0.566	0.399	0.167	0
ZINC02126774_176	Trypsin_3.sq	81	0.565	0.417	0.148	0
ZINC03852887_8	Trypsin_3.sq	82	0.565	0.417	0.148	0
ZINC03960678_120	Trypsin_3.sq	83	0.565	0.409	0.155	0
ZINC03834155_161	Trypsin_3.sq	84	0.564	0.397	0.167	1
ZINC00978047_46	Trypsin_3.sq	85	0.564	0.356	0.209	0
ZINC03819377_38	Trypsin_3.sq	86	0.564	0.398	0.166	0
ZINC03959464_36	Trypsin_3.sq	87	0.564	0.378	0.186	0
ZINC03867942_157	Trypsin_3.sq	88	0.564	0.371	0.193	0
ZINC04147300_70	Trypsin_3.sq	89	0.564	0.450	0.114	0
ZINC01631658_130	Trypsin_3.sq	90	0.564	0.387	0.176	0
ZINC03834135_195	Trypsin_3.sq	91	0.563	0.399	0.164	1
ZINC03987229_140	Trypsin_3.sq	92	0.563	0.381	0.182	0
ZINC03817194_99	Trypsin_3.sq	93	0.562	0.420	0.143	0
ZINC03870904_135	Trypsin_3.sq	94	0.562	0.394	0.168	0
