Epoch	loss_train	loss_valid	valid_ratio	best_epoch
1	7.398	5.282	0.881	1
2	2.787	2.07	0.826	2
3	1.089	0.922	0.707	3
4	0.556	0.483	0.572	4
5	0.335	0.311	0.48	5
6	0.243	0.245	0.43	6
7	0.19	0.213	0.41	7
8	0.165	0.193	0.447	8
9	0.153	0.18	0.467	9
10	0.131	0.171	0.494	10
11	0.122	0.164	0.596	11
12	0.116	0.159	0.594	12
13	0.107	0.155	0.631	13
14	0.104	0.153	0.656	14
15	0.1	0.151	0.693	15
16	0.099	0.15	0.73	16
17	0.095	0.148	0.725	17
18	0.092	0.148	0.742	17
19	0.092	0.148	0.727	17
20	0.089	0.148	0.762	17
21	0.09	0.147	0.779	21
22	0.088	0.146	0.781	22
23	0.086	0.146	0.775	23
24	0.09	0.145	0.773	24
25	0.084	0.146	0.811	24
26	0.086	0.145	0.812	26
27	0.082	0.145	0.809	26
28	0.084	0.145	0.855	26
29	0.085	0.145	0.812	29
30	0.084	0.145	0.811	30
31	0.081	0.144	0.848	31
32	0.082	0.145	0.861	31
33	0.083	0.146	0.867	31
34	0.079	0.146	0.85	31
35	0.079	0.146	0.854	31
36	0.079	0.147	0.84	31
37	0.078	0.147	0.881	31
38	0.08	0.148	0.877	31
39	0.078	0.147	0.854	31
40	0.077	0.146	0.877	31
41	0.079	0.146	0.869	31
42	0.077	0.146	0.875	31
43	0.078	0.146	0.92	31
44	0.077	0.145	0.896	31
45	0.077	0.146	0.875	31
46	0.077	0.147	0.895	31
47	0.077	0.147	0.895	31
48	0.076	0.146	0.918	31
49	0.074	0.145	0.908	31
50	0.076	0.144	0.914	50
51	0.076	0.146	0.936	50
52	0.075	0.147	0.896	50
53	0.076	0.147	0.932	50
54	0.076	0.147	0.912	50
55	0.076	0.147	0.914	50
56	0.074	0.147	0.926	50
57	0.075	0.147	0.91	50
58	0.075	0.147	0.92	50
59	0.075	0.147	0.943	50
60	0.074	0.149	0.939	50
61	0.074	0.149	0.938	50
62	0.075	0.147	0.932	50
63	0.073	0.147	0.941	50
64	0.073	0.148	0.939	50
65	0.074	0.148	0.926	50
66	0.074	0.148	0.947	50
67	0.074	0.148	0.938	50
68	0.074	0.149	0.932	50
69	0.073	0.15	0.943	50
70	0.073	0.15	0.945	50
71	0.074	0.15	0.947	50
72	0.073	0.149	0.955	50
73	0.072	0.148	0.936	50
74	0.073	0.149	0.947	50
75	0.074	0.15	0.959	50
76	0.073	0.151	0.951	50
77	0.072	0.151	0.959	50
78	0.072	0.151	0.953	50
79	0.073	0.151	0.953	50
80	0.072	0.15	0.957	50
81	0.073	0.15	0.953	50
