Epoch	valid_ratio	unique_ratio	desired_ratio	avg_amean	avg_gmean	loss_train	best_epoch
1	0.99	0.99	0.135	0.774	0.691	0.114	1
2	0.975	0.975	0.135	0.811	0.751	0.102	1
3	0.92	0.92	0.16	0.855	0.82	0.11	3
4	0.98	0.98	0.24	0.873	0.848	0.09	4
5	0.975	0.975	0.325	0.884	0.86	0.101	5
6	0.985	0.985	0.285	0.892	0.88	0.101	5
7	0.98	0.98	0.38	0.895	0.876	0.082	7
8	0.965	0.965	0.395	0.913	0.902	0.097	8
9	0.995	0.985	0.455	0.924	0.916	0.091	9
10	0.98	0.975	0.43	0.924	0.912	0.07	9
11	0.99	0.99	0.53	0.938	0.936	0.082	11
12	0.98	0.98	0.5	0.938	0.935	0.098	11
13	0.975	0.96	0.56	0.941	0.936	0.082	13
14	0.965	0.955	0.465	0.932	0.925	0.077	13
15	0.965	0.945	0.43	0.931	0.927	0.071	13
