SMILES	Valid	Desired	CDPKit_ROCS_Aggregate_5refs_TanimotoCombo	SA	Total
Cc1c(C(=O)c2ccc(Cl)cc2)c2cc(Br)ccc2n1O	1.0	1.0	1.042	2.21	1.6260000276565552
CCOC(=O)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2Cl)cc1	1.0	0.0	0.793	1.798	1.2954999914169312
O=C(O)c1cccnc1Oc1ccc(Cl)cc1C(F)(F)F	1.0	1.0	1.048	2.114	1.5809999890327453
O=C(O)CCC(=O)c1ccc(Cl)cc1NS(=O)(=O)c1cccc(F)c1	1.0	1.0	0.904	2.065	1.4844999921321869
O=C(O)c1ccccc1Sc1cccc(Cl)c1	1.0	1.0	0.944	1.807	1.375500002861023
Cc1ccc(S(=O)(=O)Nc2ccc(N)cc2)cc1	1.0	1.0	0.905	1.591	1.2479999856948853
COc1cccc(OCc2cccc(F)c2)c1S	1.0	1.0	1.003	2.068	1.5355000104904175
COc1ccc2nccnc2n1	1.0	0.0	0.694	2.267	1.480500002861023
CSCC(=O)NS(=O)(=O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	1.0	0.0	0.791	4.058	2.4245000042915343
Cc1ccc(OCc2cc(Cl)cc(Cl)c2)cc1	1.0	0.0	0.877	1.6	1.2384999871253968
CC(=O)c1ccc(S(=O)(=O)Nc2cccc(Cl)c2C)cc1	1.0	0.0	0.867	1.757	1.3119999918937681
COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C)cc1N	1.0	1.0	0.959	1.891	1.4249999957084656
COc1cccc(C(=O)NCCCO)c1	1.0	0.0	0.819	1.536	1.177500002861023
Cc1ccc(CNCC(C)CO)s1	1.0	0.0	0.808	2.768	1.788000014066696
Nc1ccc(C(=O)N(Cc2ccccc2)c2ccccn2)cc1	1.0	1.0	1.009	1.883	1.4459999718666077
Nc1nc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)cc1Cl	1.0	1.0	0.945	2.291	1.6179999964237213
CCCCSc1nc(N)nc(O)n1	1.0	0.0	0.832	2.8	1.8160000085830688
COc1nnc(NS(=O)(=O)c2ccc(C)c(C)c2)n1-c1ccccc1	1.0	0.0	0.865	2.375	1.6200000047683716
O=C(O)c1cccnc1Oc1ccc(Cl)cc1	1.0	1.0	1.063	1.729	1.395999981880188
c1ccc(Cc2ccc(OCc3ccccn3)cc2)cc1	1.0	0.0	0.792	1.593	1.1924999978542328
Cc1cccc(C(=O)Nc2cccc(Cl)c2)c1C#N	1.0	0.0	0.884	1.912	1.39800000166893
COc1ccc(F)c(F)c1C1CC1CN	1.0	0.0	0.752	3.189	1.9704999871253968
O=c1[nH]c(O)nc(F)c1Cl	1.0	0.0	0.56	3.2	1.880000001192093
CCCSc1ncc(Cl)c(C(N)=O)c1[N+](=O)[O-]	1.0	0.0	0.855	2.782	1.8185000095367432
O=C(CCc1ccccc1)Nc1ccc(Cl)cc1Cl	1.0	1.0	1.098	1.482	1.2900000247955323
O=C(Cc1ccccc1)OCC(=O)c1ccc(Cl)c(Cl)c1	1.0	1.0	1.047	1.697	1.3720000252723694
Oc1ccc(OCc2ccc(Cl)cc2)cc1Cl	1.0	1.0	0.933	1.618	1.2755000140666963
O=C(CCNS(=O)(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1	1.0	1.0	1.012	1.756	1.3839999823570253
COc1ccccc1NS(=O)(=O)c1cccc(C(=O)O)c1	1.0	0.0	0.828	1.657	1.242500004529953
COc1ccc(C(C)C)cc1Oc1ncc(Cl)cc1N	1.0	1.0	0.998	2.205	1.6015000128746033
O=C(Nc1ccc(Cl)cc1)c1ccccc1OCc1cccc(Cl)c1Cl	1.0	0.0	0.808	1.798	1.3030000140666962
O=C(NCCNc1ccccn1)c1ccccc1O	1.0	0.0	0.811	1.843	1.3269999947547912
O=C(NCCc1cccnc1)c1ccc(Cl)cc1F	1.0	1.0	0.96	1.795	1.377499989271164
Cc1ccccc1OCC#N	1.0	0.0	0.705	1.757	1.2309999916553496
O=S(=O)(c1ccc(Cl)cc1)N1CCCC1c1ccccc1	1.0	1.0	1.111	2.199	1.6549999709129333
Cc1ccccc1C(=O)Nc1ccc(Cl)c(Cl)c1	1.0	1.0	0.99	1.46	1.2250000047683716
COc1ccccc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	0.96	1.525	1.242499989271164
O=C(O)c1ccc(S(=O)(=O)NCc2ccc(Cl)cc2)cc1	1.0	0.0	0.844	1.634	1.238999990940094
Clc1ccc(Nc2ncccc2Cl)c(Cl)c1	1.0	1.0	0.948	1.891	1.4195000069141388
CC(C)Oc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1	1.0	1.0	0.945	1.664	1.3044999964237212
COc1cc(C(=O)Nc2ccc(Cl)cc2)ccc1O	1.0	0.0	0.853	1.504	1.178499992609024
COc1ccccc1NC(=O)CNC(=O)c1ccccc1	1.0	0.0	0.785	1.444	1.1145000131130218
Cc1ccc(C(=O)c2cccc(Br)c2)cc1	1.0	0.0	0.859	1.5	1.179500013589859
Nc1nnc(S(=O)(=O)Nc2ccc(Br)cc2F)s1	1.0	1.0	1.037	2.529	1.7829999704360961
Oc1ccccc1-c1ccccc1	1.0	0.0	0.796	1.315	1.0555000019073486
Cc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2Cl)cc1	1.0	1.0	1.034	1.633	1.3335000195503235
CN(C)c1cccc(S(=O)(=O)NCc2ccc(Cl)cc2)c1	1.0	0.0	0.894	1.842	1.3679999969005585
O=C(COc1ccc(Cl)cc1)NO	1.0	1.0	0.937	1.659	1.2979999883174895
CCOc1c(Cl)cccc1NS(=O)(=O)c1ccc(Cl)cc1Cl	1.0	1.0	0.907	2.049	1.4780000026226043
Cc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c(Cl)c1	1.0	1.0	0.952	1.662	1.3070000109672546
Cc1ccc(C2OC(=O)C(c3ccc(C)cc3)C2C)cc1	1.0	1.0	0.921	3.03	1.9755000019073485
