Epoch	SMILES	Valid	Desired	CDPKit_ROCS_Aggregate_5refs_TanimotoCombo	SA
1	NS(=O)(=O)N1CCc2nc(C#Cc3ccccc3)sc2C1	1.0	0	0.757	0.908
1	O=C(CSc1nnnn1-c1ccc(Br)cc1)Nc1c(F)cccc1F	1.0	0	0.856	0.976
1	Oc1nc2ccccc2c(NC2CCCNC2)c1-c1nc2ccccc2[nH]1	1.0	0	0.751	0.878
1	O=C(Nc1cccc(Cl)c1)C1CCN(S(=O)(=O)c2ccc(N3CCOCC3)nc2)CC1	1.0	0	0.0	0.973
1	CCOc1cc(C(=O)N(C)C2CCCN(Cc3ccc(F)cc3)C2)cc(OC)c1Cl	1.0	0	0.761	0.928
1	Nc1cc(O)cc(-c2nc3ncccc3o2)c1	1.0	0	0.728	0.958
1	Cc1ccc(C(=O)OC(C)C(=O)NC(=O)c2ccccc2)cc1	1.0	1	0.937	0.979
1	Cc1csc(N2CCN(C(=O)CN3C(=O)COc4ccc(S(=O)(=O)Nc5ccc(N6CCOCC6)cc5)cc43)CC2)n1	1.0	0	0.0	0.921
1	NCCNc1nc(-c2cccnc2)nc2sc(C)c(C)c12	1.0	0	0.762	0.96
1	CC(C)(C)c1cc(NC(=O)N2CCCN(C(=O)Cn3ccc(C(F)(F)F)n3)CC2)no1	1.0	0	0.0	0.924
1	Clc1cccc2c1CC21C2CCN1CC2	1.0	0	0.704	0.225
1	O=[N+]([O-])c1ccccc1C=CC=CC=Cc1ccccc1	1.0	0	0.636	0.969
1	CCc1ccc(NC(=O)c2ccc3nc(C(C)C)oc3c2)nc1	1.0	0	0.767	0.971
1	CCCCCCc1ccc(CCc2cc(NC(=O)Cc3ccccc3)ccc2OCC)cc1	1.0	0	0.0	0.982
1	CCc1noc(C)c1C(=O)N1CCCC(c2ccc(F)cc2)=N1	1.0	0	0.895	0.944
1	Brc1ccc(CN2CCC(NCCCCc3c[nH]c4ccccc34)CC2)cc1	1.0	0	0.58	0.977
1	CC(=O)Nc1cccnc1NCC(=O)c1ncc(CC(F)(F)F)cc1Cl	1.0	0	0.794	0.922
1	CC(C)(C)OC(=O)N1CC2C(=O)N(c3cccc(CNS(C)(=O)=O)c3)CC21	1.0	0	0.794	0.766
1	Cc1ccccc1NC(=S)N(C)C(C)c1ccccc1	1.0	1	1.031	0.969
1	O=C(Nc1nnc(-c2ccncc2)o1)N1CCCNCC1	1.0	0	0.825	0.96
1	COc1ccccc1C(NC(=O)C1CCCCC1)c1[nH]c2ccccc2c1CCN1CCOCC1	1.0	0	0.0	0.883
1	O=C(NO)c1ccccc1SS	1.0	0	0.667	0.934
1	COc1ccc(C2CC(=O)C3C(=Nc4ccccc4CC3)C2)cc1	1.0	1	0.959	0.834
1	C=CCn1c(SCC(=O)NC2CCS(=O)(=O)C2)nnc1-c1ccco1	1.0	0	0.825	0.87
1	CC(C(=O)NCc1ccc(C(F)(F)F)cc1C#N)c1ccc(NS(C)(=O)=O)c(F)c1	1.0	0	0.689	0.887
1	CCNC(=O)Nc1ccc2c(c1)c(SS(=O)(=O)CCC)n2C	0.0	0	0.0	0.0
1	O=C(C=S(O)(O)=Cc1ccccc1)N1CCOCC1	1.0	0	0.742	0.888
1	[O-][n+]1onc2ccc(-c3nn[nH]n3)cc21	1.0	0	0.752	0.856
1	O=C(O)c1cc2nc(-c3ccccc3)n(-c3ccc(Cl)cc3)c2nc1O	1.0	0	0.814	0.967
1	CC(C)(O)COc1ccc(Cc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)cc1	1.0	0	0.0	0.96
1	CC12CN(c3ccc(F)cc3N)CCN1Cc1cc(Cl)ccc1N2	1.0	1	0.921	0.79
1	CC(C)(C)NS(=O)(=O)c1ccc(-c2ccc3cc(OC4CCN(C(=O)OCc5ccccc5)CC4)cn3c2)cc1	1.0	0	0.0	0.917
1	CNc1nc(C)c2ncn(C3OC(CO)C(O)C3O)c2n1	1.0	0	0.807	0.637
1	CCCCCOC(=O)C1C(C)=NC2=CCCC(=O)C2C12C(=O)N(C)c1ccccc12	1.0	0	0.899	0.277
1	COc1ccc(C(=O)NN=Cc2ccc(O)cc2Cl)cc1OC	1.0	0	0.727	0.982
1	Oc1ccccc1-c1cc(C(O)Nc2ccc3ccccc3c2)[nH]n1	1.0	1	0.911	0.896
1	CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1	1.0	1	0.917	0.953
1	Cc1ccc(Nc2n[nH]c(SCc3ccon3)n2)cc1	1.0	0	0.875	0.935
1	COc1cc(NC(=O)Nc2ccc(-c3nsc(O)n3)cc2)ccc1C(C)C	1.0	0	0.603	0.958
1	NC(=O)Nc1sc(-c2ccc(Cl)cc2)cc1C(=O)c1ccsc1	1.0	0	0.815	0.962
1	O=C(CN1C(=O)C(=Cc2cccnc2)SC1=S)Nc1ccccc1	1.0	0	0.846	0.979
1	CCCCc1cccc2c1S(=O)(=O)c1ccc(N3CCC(NC)C3C)cc1CC2	1.0	0	0.785	0.623
1	Cn1nccc1C(=O)N1CCC(O)(c2ccc(Cl)cc2)CC1	1.0	1	1.001	0.964
1	COc1ccccc1-n1nc2ccc(OCC(=O)N3CC4CC(C3)c3cccc(=O)n4C3)nc2c1C	1.0	0	0.0	0.13
1	S=C(c1ccc(O)c(O)c1)N1CCCCO1	1.0	0	0.759	0.912
1	CCc1cccc2c(CCNC(C)=O)c[nH]c12	1.0	0	0.808	0.978
1	Cn1c(=O)n(-c2ccc(Cl)c(Cl)c2)c(=O)c2cccnc21	1.0	1	0.998	0.978
1	CC(=NN=C(N)N)c1cc(NS(=O)(=O)c2ccccc2)cs1	1.0	0	0.849	0.935
1	O=S(=O)(Nc1cccc(Cl)c1)c1cnc(Cl)c(Br)c1	1.0	0	0.892	0.976
1	O=C(O)c1nc2c(O)nc3cc(I)ccc3n2n1	1.0	1	0.909	0.894
1	Cn1nc(-c2cccc(Br)c2)cc1C(=O)NC(C)c1ccccc1	1.0	0	0.789	0.958
