Epoch	valid_ratio	unique_ratio	desired_ratio	avg_amean	avg_gmean	loss_train	best_epoch
1	0.96	0.96	0.305	0.821	0.739	0.099	1
2	0.955	0.955	0.375	0.849	0.791	0.095	2
3	0.985	0.985	0.4	0.865	0.811	0.093	3
4	0.98	0.98	0.455	0.887	0.851	0.103	4
5	0.95	0.95	0.43	0.889	0.853	0.101	4
6	0.97	0.97	0.545	0.918	0.897	0.093	6
7	0.96	0.96	0.615	0.931	0.913	0.1	7
8	0.98	0.975	0.605	0.927	0.906	0.092	7
9	0.98	0.98	0.67	0.952	0.94	0.083	9
10	0.975	0.975	0.66	0.947	0.928	0.098	9
11	0.935	0.93	0.64	0.953	0.943	0.086	9
12	0.99	0.985	0.715	0.967	0.962	0.106	12
13	0.975	0.975	0.71	0.965	0.957	0.08	12
14	0.94	0.92	0.72	0.977	0.97	0.086	14
15	0.97	0.965	0.72	0.98	0.973	0.069	14
