SMILES	Valid	Desired	ROCS_CCR2	SA	Total
O=C(NCc1cccc(Cl)c1)c1ccccn1	1.0	1.0	1.015	1.616	1.3154999928474427
O=C(O)c1cnc2ccc(F)cc2c1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1.0	0.977	2.12	1.5484999990463257
Cc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2Cl)cc1	1.0	1.0	1.069	1.642	1.355500002861023
O=S(=O)(NCc1ccc(Cl)cc1)c1ccccc1	1.0	1.0	1.004	1.488	1.2459999742507935
CC(C)CC(=O)c1ccc(Cl)c(Cl)c1O	1.0	0.0	0.881	2.221	1.5509999911785126
CC(C)(C)c1ccc(OS(=O)(=O)c2ccc(S(=O)(=O)Nc3ccc(Cl)cc3)cc2)cc1	1.0	0.0	0.0	2.076	1.038
CC(C)c1ccc(Sc2ccc(Cl)cc2O)c(O)c1	1.0	1.0	0.939	2.353	1.6460000052452088
Nc1cccc(S(=O)(=O)Nc2ccccc2)c1	1.0	1.0	1.007	1.601	1.303999984741211
N#Cc1ccccc1Oc1ccccc1C(=O)O	1.0	1.0	1.186	1.777	1.4814999947547913
CC(=O)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1	1.0	1.0	0.933	1.584	1.2585000140666962
COc1ccc(CN2C(=O)c3nccnc3C2=O)cc1	1.0	1.0	1.313	2.126	1.719499981880188
COc1nc(Cl)c(Cl)c(Nc2ccc(Cl)cc2)n1	1.0	1.0	1.082	2.245	1.663500008583069
COc1nnc(C)n1Cc1ccccc1Br	1.0	1.0	1.021	2.341	1.6810000138282777
COc1nc(Cl)c(Cl)nc1NS(=O)(=O)c1ccc(Br)cc1	1.0	1.0	1.034	2.393	1.7135000195503234
Cc1ccc(S(=O)(=O)NCc2cc(Cl)ccc2-c2ccccc2)cc1	1.0	1.0	0.984	1.798	1.391000013589859
Cc1ccc(C(=O)Nc2ccc(Cl)cc2)cc1	1.0	0.0	0.871	1.238	1.0544999959468841
COc1cccc(NS(=O)(=O)c2ccc(Br)cc2)c1	1.0	1.0	0.924	1.61	1.2670000123977663
O=[SH](O)(O)c1ccc(Cl)cc1Cl	1.0	0.0	0.0	3.909	1.9545
O=S(=O)(Nc1cc(Cl)c(Cl)cc1Oc1ccccc1)c1ccc(Cl)cc1	1.0	1.0	1.15	1.908	1.528999988079071
COc1cccc(C(=O)OCC(=O)Nc2cc(Cl)ccc2C#N)c1	1.0	0.0	0.777	1.893	1.33500000500679
CCCn1c(N)c(C(=O)OCC)c2ccccc21	1.0	0.0	0.899	2.069	1.4839999945163727
Cc1ccccc1C(=O)c1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)cc1Cl	1.0	1.0	1.102	2.073	1.5874999990463257
Clc1cccc(CSc2nc3ccccc3[nH]2)c1	1.0	1.0	1.02	1.866	1.4429999904632569
O=C(O)c1ccccc1NS(=O)(=O)c1ccc(Cl)cc1F	1.0	1.0	1.025	1.842	1.433499988079071
Cc1ccc(C(=O)NCC(=O)c2ccc(F)cc2)cc1	1.0	1.0	1.145	1.564	1.3544999904632569
O=C(NCCc1ccccc1)c1ccccc1	1.0	1.0	0.904	1.221	1.062499992132187
O=C(c1ccncc1)c1ccc(Cl)cc1	1.0	1.0	1.017	1.581	1.2989999799728393
CC(C)Nc1nc2nn(C)c(-c3ccc(Cl)cc3)c2n1-c1ccc(Cl)cc1	1.0	0.0	0.889	2.679	1.7839999992847442
O=C(c1ccc(Cl)nc1)c1cccc(O)c1Oc1ccc(Cl)c(Cl)c1	1.0	1.0	0.975	2.286	1.630500011920929
Clc1ccc(Oc2cccc(Br)c2)cc1	1.0	0.0	0.881	1.486	1.1834999911785125
CSc1nc2ccccc2c(=O)n1N	1.0	0.0	0.897	2.124	1.510500007390976
COc1ccc(Cl)cc1S(=O)(=O)Nc1ccc(F)cc1Cl	1.0	1.0	1.032	1.855	1.443499972820282
COCCOc1ccc(S(=O)(=O)N2CCCCC2)cc1	1.0	1.0	0.926	1.742	1.3339999995231628
O=S(=O)(c1ccccc1)C1CCC(N2CCN(c3cccc(Cl)c3)CC2)CC1	1.0	0.0	0.805	2.183	1.4940000035762786
Cc1ccc(S(=O)(=O)NCC(=O)Nc2ccccc2)cc1	1.0	1.0	1.049	1.584	1.3165000123977662
COc1cccc(CC(=O)C(C#N)c2ccccc2)c1	1.0	1.0	1.138	2.394	1.766000005722046
COc1ncncc1-c1ccc(Cl)c(O)c1C(=O)c1ccccc1Cl	1.0	1.0	1.097	2.48	1.7885000014305115
COc1cccc(CN2SCc3ccccc32)c1	1.0	1.0	1.005	2.502	1.753499997615814
Cc1ccc(C(=O)N(C)C(=O)c2ccccc2)cc1	1.0	1.0	1.107	1.698	1.4024999966621399
O=C(c1cc(Cl)ccc1Cc1ccccc1)N1CCOCC1	1.0	1.0	1.049	1.846	1.4475000123977662
O=C(NCc1ccc(Cc2ccccc2)cc1)OCCO	1.0	0.0	0.789	1.741	1.2649999873638154
Cc1ccc2cc(C(=O)NCc3ccccc3)[nH]c2c1	1.0	1.0	0.93	1.757	1.3435000035762785
