Epoch	SMILES	Valid	Desired	ROCS_CCR2	SA
1	CCOc1cc(C(=O)Nc2c(C)ccc3cccnc23)cc(OC)c1OC	1.0	0	0.791	0.977
1	OC1=CCCc2cc(-n3ccnc3)c(Cl)cc21	1.0	1	0.908	0.9
1	COc1ccc(C2COc3cc(O)ccc3C2)cc1	1.0	1	1.038	0.951
1	CCn1c(SCC(=O)Nc2ccccc2)nnc1C(C)C	1.0	0	0.836	0.985
1	Oc1ccc2c(c1)OC(Cc1ccccc1)CC2	1.0	1	1.207	0.954
1	CCCc1cc(C(=O)NCCCOC(C)C)no1	1.0	0	0.813	0.968
1	O=C(Nc1nnc(C2CC2)s1)c1ccccc1O	1.0	0	0.897	0.981
1	COc1cccc(NC2=CC(c3ccccc3)N(c3ccc(Oc4ccccc4)cc3)C2=O)c1	1.0	0	0.0	0.929
1	N#CC(c1ccccn1)c1cc(Br)ccc1N	1.0	1	0.94	0.879
1	Cc1ccc(Sc2ccc(-c3ccn4c(-c5ccccc5)cnc4c3)cc2F)cn1	1.0	0	0.753	0.949
1	Cc1ccc(OCc2nnc(SCC(=O)c3ccccc3)n2N)cc1C	1.0	0	0.807	0.978
1	O=C(NC1CC1)c1cccc(OC2CCN(Cc3ccccc3)C2)c1	1.0	0	0.82	0.966
1	FC(F)(F)c1ncc(N2CCNCC2)c(NC(Cc2ccccc2)Cc2ccc(Cl)cc2)n1	1.0	0	0.0	0.866
1	CC(C)=c1cccc(NC(=O)NCc2ccccc2)c1	0.0	0	0.0	0.0
1	CC1Cn2c(nc3cccnc32)C(=O)O1	1.0	1	0.931	0.811
1	CC(C)n1cc(-c2ccc(Nc3ncc4cc(C(=O)N(C)C)n(CC(F)(F)F)c4c3)nc2)cn1	1.0	0	0.0	0.873
1	NCCN1C(=O)C(=Cc2cccc(O)c2)SC1=S	1.0	1	0.933	0.965
1	CN(c1cncnc1)c1cccc(C(=O)Nc2cccnc2)c1	1.0	0	0.812	0.969
1	Fc1ccc2[nH]cc(CCCN3CCCCC3)c2c1	1.0	1	0.905	0.983
1	Cc1cnc(Oc2ccc(-c3ccc(C4CCC(CC(=O)O)CC4)cc3)cc2)nc1	1.0	0	0.655	0.967
1	CCn1cccc1C(=O)Nc1ccn(Cc2ccc(F)cc2)n1	1.0	0	0.812	0.972
1	O=S(=O)(NC(=S)c1cc(C2CC2)nc2ccccc12)c1cccc(Br)c1	1.0	0	0.789	0.955
1	CCn1c(SCC(=O)Nc2cc(C3CC3)cc([N+](=O)[O-])c2)nc2ccccc21	1.0	0	0.826	0.971
1	NC(Cc1ccccc1)C(=O)O	1.0	0	0.768	0.986
1	CN(C)c1nc(N)nc(COC(=O)c2c(Cl)ccc3ccccc23)n1	1.0	1	1.078	0.961
1	O=C(c1ccc(F)cc1)c1ccn(Cc2ccccc2)n1	1.0	1	1.068	0.987
1	O=C(CCn1cc([N+](=O)[O-])cn1)NCc1ccccc1	1.0	1	1.003	0.983
1	Nc1cc(-c2ccccc2)nc2nn(-c3ccccc3)c(O)c12	1.0	0	0.79	0.969
1	COc1cc(C=C2C(=O)NC(=O)N(c3ccc(Br)c(C)c3)C2=O)cc(OC)c1O	1.0	0	0.783	0.959
1	COC(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n(C2CCCC2)c1=O	1.0	0	0.0	0.944
1	Cc1ccc(OCC(=O)OCC(=O)C2C(=N)N(C)C(=O)N(C)C2=O)cc1C	1.0	0	0.739	0.824
1	CCOc1ccc2nc(-c3cccc(NS(C)(=O)=O)c3)cnc2c1	1.0	0	0.858	0.979
1	O=C(C[n+]1cccc2ccccc21)c1ccc([N+](=O)[O-])cc1	1.0	1	0.968	0.97
1	COc1ccc(C)cc1NC(=O)CN1C(=O)CSc2ccc(S(=O)(=O)N3CCCCCC3)cc21	1.0	0	0.0	0.961
1	Cc1ccc(C)c2oc(=S)c(C)c(=O)c2c1	0.0	0	0.0	0.0
1	COc1ccc(-c2nc(C)c(CCCOc3ccccc3Br)s2)c(OC)c1	1.0	0	0.786	0.971
1	C#CCCCOc1ccc(C(C)(N)C(=O)N2CCCC2C(=O)O)cc1	1.0	0	0.799	0.816
1	O=C(Nc1nc(-c2cc(F)ccc2F)cs1)c1ccc(Br)cc1	1.0	1	0.955	0.984
1	Nc1ncccc1Sc1ccc(OC(F)(F)F)cc1	1.0	1	0.928	0.97
1	S=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3Cl)c2c1)N1CCOCC1	1.0	0	0.835	0.962
1	CCN(CC)c1ccc(CN2CCCCCC2)cc1	1.0	1	0.917	0.989
1	CC(C)c1ccc(C(=O)CC2(O)C(=O)N(Cc3ccccc3)c3ccc(Br)cc32)cc1	1.0	0	0.0	0.936
1	COc1ccc(NC(O)c2cc(-c3c(F)cccc3Cl)no2)cc1Cl	1.0	1	0.923	0.865
1	Cc1ccc(C(=O)NCCNc2ccc([N+](=O)[O-])cc2)cc1F	1.0	0	0.792	0.986
1	O=Cc1coc2ccccc2c1=O	1.0	0	0.885	0.972
1	O=C(NC1CCCc2ccccc21)c1cccc2c1CCN(Cc1cnc3ccccc3n1)C2	1.0	0	0.0	0.898
1	NC(=NC(=O)c1cccc(-n2cccn2)c1)c1ccccc1	1.0	0	0.889	0.975
1	CC(C)Cc1cc(C(=O)NC2C3CC4CC(C3)CC2C4)co1	1.0	1	0.952	0.572
1	COc1ccc(C2c3[nH]c4ccc(OC)cc4c3CCN2C(=O)c2ccccc2Br)cc1	1.0	0	0.0	0.929
1	COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc2cccc(NCc3ccccc3OC)c2n1	1.0	0	0.0	0.957
1	COC(COc1cccc(C=CC(=O)O)c1)Cc1ccc(C(F)(F)F)cc1	1.0	0	0.876	0.922
1	O=C(Cc1ccc(N2CCOCC2)c([N+](=O)[O-])c1)NCc1ccccn1	1.0	0	0.771	0.975
1	CC(=O)Nc1ccc(F)c(-c2cccc(C(=O)Nc3ccc(C#N)cc3)c2)c1	1.0	0	0.794	0.984
1	O=C(COc1ccccc1Cl)NCc1ccccn1	1.0	0	0.837	0.99
1	O=C(CSc1nnc(-c2ccccc2)n1Cc1ccccc1)Nc1ccccc1	1.0	0	0.879	0.988
1	CC(C)c1cc(C(=O)N2CCC(O)CC2)nc(-c2ccccc2)n1	1.0	0	0.9	0.972
1	COc1ccc(S(=O)(=O)N2CCCC2C(=O)Nc2ccc(Cl)cc2)cc1	1.0	1	0.903	0.97
1	CCn1cc(C(=O)NCC(O)C(O)C(O)C(O)C(O)CO)c(C)n1	1.0	0	0.787	0.536
1	CC(N)C(=O)NCCc1ccncc1	1.0	0	0.757	0.966
1	CCOc1ccc(CC(=O)NCCc2ccc(Cl)cc2)cc1	1.0	1	0.932	0.992
1	CCOc1ccccc1-c1ccc(OC)c(C(CC(=O)O)c2nnc(C)o2)c1	1.0	0	0.8	0.902
1	CCCn1c(=O)c2c(n(CCCC)c(=O)n2-c2ccccc2)n(C)c1=O	1.0	0	0.875	0.956
1	Cc1ccc(S(=O)(=O)Oc2ccc3c4c(cccc24)C2=NNCCN2C3)cc1	1.0	0	0.838	0.911
1	Cc1cccc2cc(C(c3nnnn3C3CCCC3)N3CCN(C4CCCCC4)CC3)c(O)nc12	1.0	0	0.0	0.795
1	COc1cc(Br)cc(Br)c1OC	1.0	0	0.762	0.986
1	C=S(O)(O)=CCNC(=O)c1ccccc1	1.0	0	0.856	0.942
1	CCOC(=O)c1c(C)nn(S(=O)(=O)c2ccccc2)c1C	1.0	1	0.928	0.977
1	c1ccc2c(c1)Oc1ccccc1Sc1ccccc1O2	1.0	1	1.038	0.952
1	COc1ccc(-c2ccc3ncnc(Nc4ccc(Br)cc4F)c3c2)cc1	1.0	0	0.792	0.98
1	Cc1ccc(CNC(=O)C2CCC(=O)N(c3ccc(OCc4ccccc4)c(OC)c3)C2)cc1	1.0	0	0.0	0.951
1	O=C(CCn1c2cc(Cl)ccc2cc2ccccc21)NCCCCNC(=O)c1cccc2cnnc2c1	0.0	0	0.0	0.0
1	CC(Nc1ncnc2[nH]c(I)c(-c3ccc(F)cc3)c12)c1ccccc1	1.0	1	0.964	0.883
1	CCCC(CCC)C(=O)ON=C(c1ccccc1)c1ccccc1OC	1.0	0	0.86	0.965
1	CCCNC(=O)c1ccc(CN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1	1.0	0	0.752	0.984
1	CCOc1ccc(NC(=O)c2sc(-n3nc(C)c(Cl)c3C)cc2N)cc1	1.0	0	0.799	0.951
1	N#Cc1ccc(-c2csc(N3CCCCC3)n2)cc1	1.0	0	0.896	0.981
1	OCc1cnc(O)nc1NCc1ccccc1	1.0	1	1.002	0.963
