Epoch	SMILES	Valid	Desired	RDKit_Aggregate_5refs_TanimotoCombo	SA
1	Clc1ccc(-c2csc3ccnc(NC4CCN(c5ncc(C(F)(F)F)cn5)CC4)c23)cc1	1.0	0	0.0	0.931
1	COc1cc2nccc(O)c2cc1OC	1.0	0	0.747	0.982
1	COc1ccc(-c2ccc(C=C3C(=O)NC(=O)N(c4ccc(C(C)(C)C)cc4)C3=O)o2)c([N+](=O)[O-])c1	1.0	0	0.0	0.943
1	CCc1nc(N)nc(N)c1-c1ccc(OC)c(OC)c1	1.0	0	0.842	0.975
1	CC(=O)NCCNC(=O)NC(=O)c1ccc(COc2ccc(Cl)cc2)cc1	1.0	0	0.699	0.985
1	COc1cc(O)c(C(=O)C=Cc2ccc(C(C)C)cc2)cc1O	1.0	0	0.744	0.975
1	Cc1c(C(=O)N(c2ccc(O)cc2)c2cc(C#N)n(C)c2)cc(-c2cc(Cl)ccc2C(=O)N2Cc3ccccc3CC2C)n1C	1.0	0	0.0	0.618
1	CC(=O)N1CCN(c2ccc(S(=O)(=O)N3CCCCC3)cc2)CC1	1.0	0	0.834	0.985
1	CCC(CN1CCC(C)CC1)NC(=O)c1cnn2cccnc12	1.0	0	0.865	0.898
1	NC(=O)CN(c1ccc([N+](=O)[O-])cc1)S(=O)(=O)c1cccc(-c2nc3ccccc3s2)c1	1.0	0	0.0	0.964
1	COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc(C(F)(F)F)c(Oc2cnc(C)nc2)n1	1.0	0	0.0	0.913
1	CCC(C)C(NC(=O)OCC(C)C)C(=O)OC	1.0	0	0.81	0.917
1	O=C(NCC1CCC(C(=O)O)CC1)c1cccc([N+](=O)[O-])c1	1.0	0	0.873	0.982
1	CCOC(=O)NC(=O)C1CCCC1	1.0	0	0.83	0.985
1	Oc1ccc(-c2ccc(OCc3ccccc3)cc2)nn1-c1ccccc1	0.0	0	0.0	0.0
1	CC(C)Cc1ccc(C(=O)N2CCN(C(C)C)CC2)cc1	1.0	0	0.858	0.988
1	Cc1cnc(C)c(N(C)C)c1C=O	1.0	0	0.689	0.899
1	CCOc1nc(N2CCC(C(=O)NC(C)C)CC2)n2ccnc2c1NS(=O)(=O)c1ccccc1	1.0	0	0.0	0.92
1	NS(=O)(=O)c1ccc(CCN=Cc2ccc(Br)cc2O)cc1	1.0	0	0.798	0.96
1	COc1ccc2[nH]cc(CCNC(=O)c3ccco3)c2c1	1.0	0	0.862	0.981
1	COC(=O)c1ccccc1NS(=O)(=O)NCCCC	1.0	0	0.843	0.981
1	COc1nc(NCCc2ccc(Cl)cc2Cl)ccc1C	1.0	0	0.836	0.976
1	CC(=C(c1ccc(OCc2ccc(OC(F)(F)F)c(Cl)c2)nc1)c1ccc(OC(F)(F)F)c(F)c1)c1ccc(C(=O)NC(C)(C)C(N)=O)cc1	1.0	0	0.0	0.826
1	COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cccc(Cl)c1	1.0	0	0.757	0.975
1	CC(=O)CC(=O)CC1(O)C(=O)N(CC(N)=O)c2ccccc21	1.0	0	0.903	0.886
1	O=C(O)c1cccnc1Sc1ccc(O)cc1	1.0	0	0.914	0.982
1	Cc1c(NS(=O)(=O)c2cccc(C(=O)N(C)Cc3cccs3)c2)c(C)cn1Cc1ccc(Cl)cc1	1.0	0	0.0	0.945
1	O=S(=O)(Nc1ccccc1O)c1ccc2nc(O)oc2c1	1.0	0	0.923	0.966
1	c1cc(Oc2ccc(Cl)cc2)c2ccccc2n1	1.0	0	0.884	0.992
1	CN(C)CCN1CC(O)C(O)C(O)C1C	1.0	0	0.815	0.58
1	Cc1ccc(-c2nnc(SCC(N)=O)nc2-c2ccc(C)cc2)cc1	1.0	0	0.973	0.978
1	COc1ccc(OC)c(S(=O)(=O)NC(C)(C)C)c1	1.0	0	0.881	0.985
1	COc1cc(CC2=NC(=O)NC2=O)cc(OC)c1OC	1.0	0	0.855	0.942
1	O=C(O)CCS(=O)(=O)c1cccc2c(NCc3ccc(Cl)c(Cl)c3)ncnc12	1.0	0	0.763	0.959
1	CC(C)(C)Cn1c(=O)c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2ccccc21	1.0	0	0.724	0.904
1	COc1cccc(OC)c1C1CCC(=O)c2ccccc21	1.0	0	0.956	0.943
1	CCOc1cc2ncnc(Nc3ccc(OC)cc3C)c2c1OCC	0.0	0	0.0	0.0
1	CN1CCC(N2CCNCC2)CC1	1.0	0	0.73	0.971
1	Cc1c(S(=O)(=O)c2cccc(OCC#CCN3CCOCC3)c2)sc2nc(C3CC3)nc(O)c12	1.0	0	0.0	0.839
1	COc1cc(OC)cc(C(=O)n2nc(NS(=O)(=O)c3cccs3)cc2C)c1	1.0	0	0.823	0.951
1	Cc1ccc(CNC(=O)c2cc3ccccc3n2C)cc1	1.0	0	0.885	0.989
1	NC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccc([N+](=O)[O-])cc1-3	1.0	0	0.816	0.949
