,Activity_ID,Quality,source,CID,SMILES,SMILES_Murcko,ligandtype,connectivity,InChIKey,InChI,InChI_AuxInfo,target_id,accession,Protein_Type,AID,doc_id,Year,all_doc_ids,all_years,type_IC50,type_EC50,type_KD,type_Ki,type_other,Activity_class,relation,pchembl_value,pchembl_value_Mean,pchembl_value_StdDev,pchembl_value_SEM,pchembl_value_N,pchembl_value_Median,pchembl_value_MAD,database
5,IMUSQOMYWQPLSQ_on_P41597_WT,High,ExCAPE-DB;ChEMBL30,49798435;CHEMBL1170828,O=C(O)c1cc(Oc2ncc(Cl)cc2NS(=O)(=O)c2cc(Cl)c(Cl)cc2)ccc1,O=S(=O)(Nc1cccnc1Oc1ccccc1)c1ccccc1,allosteric,IMUSQOMYWQPLSQ,IMUSQOMYWQPLSQ-UHFFFAOYSA-N,"InChI=1S/C18H11Cl3N2O5S/c19-11-7-16(23-29(26,27)13-4-5-14(20)15(21)8-13)17(22-9-11)28-12-3-1-2-10(6-12)18(24)25/h1-9,23H,(H,24,25)","""AuxInfo=1/1/N:28,29,27,26,25,5,13,20,10,4,11,6,19,23,21,14,8,2,12,24,22,9,15,1,3,17,18,7,16/E:(24,25)(26,27)/CRV:29.6/rA:29OCOCCCOCNCCClCCNSOOCCCClCClCCCCC/rB:d1;s2;s2;d4;s5;s6;s7;d8;s9;d10;s11;s11;s8d13;s14;s15;d16;d16;s16;d19;s20;s21;d21;s23;s23;s19d25;d6;s27;s4d28;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,PubChemAID:489703;CHEMBL1174375,PMID:20627722,2010.0,PubChemAID:489703;PMID:20627722,2010,0.0,0.0,0,0;1,1;0,,=,  8.801;  8.800,8.8,0.0,0.0,2.0,8.8,0.0,papyrus
8,,,ChEMBL30,CHEMBL4572833,Nc1nc2[nH]c(C3CC3)c(Cc3ccc(Br)cc3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,IRUPMGAJMKZLLI-UHFFFAOYSA-N,"InChI=1S/C15H14BrN5O/c16-10-5-1-8(2-6-10)7-11-12(9-3-4-9)18-15-19-14(17)20-21(15)13(11)22/h1-2,5-6,9H,3-4,7H2,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.84,,,,,,ChEMBL30_2019_22
13,YSVHPACWAGFQQP_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207083,O=S(=O)(Nc1cc(Cl)ccc1Cn1cncn1)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1ccccc1Cn1cncn1)c1ccccc1,allosteric,YSVHPACWAGFQQP,YSVHPACWAGFQQP-UHFFFAOYSA-N,"InChI=1S/C15H11Cl3N4O2S/c16-11-2-1-10(7-22-9-19-8-20-22)15(5-11)21-25(23,24)12-3-4-13(17)14(18)6-12/h1-6,8-9,21H,7H2","""AuxInfo=1/0/N:10,9,19,20,6,25,12,16,14,11,7,18,21,23,5,8,22,24,15,17,4,13,1,3,2/E:(23,24)/CRV:25.6/rA:25OSONCCCClCCCCNCNCNCCCCClCClC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s2;d18;s19;d20;s21;s21;s23;s18d23;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.400,7.4,0.0,0.0,1.0,7.4,0.0,papyrus
14,OSCPGWPTNVWTPZ_on_P41597_WT,High,ChEMBL30,CHEMBL1924023,Cc1c(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)ccc(C(=O)NCCN2CCCC2)c1,O=C(NCCN1CCCC1)c1ccc(Oc2ccccc2NS(=O)(=O)c2ccccc2)cc1,allosteric,OSCPGWPTNVWTPZ,OSCPGWPTNVWTPZ-UHFFFAOYSA-N,"InChI=1S/C27H26Cl2F3N3O4S/c1-17-14-18(26(36)33-10-13-35-11-2-3-12-35)4-8-24(17)39-25-9-5-19(28)15-23(25)34-40(37,38)20-6-7-22(29)21(16-20)27(30,31)32/h4-9,14-16,34H,2-3,10-13H2,1H3,(H,33,36)","""AuxInfo=1/1/N:1,37,38,28,7,17,18,27,6,33,36,39,34,40,10,26,2,29,8,16,21,19,11,3,5,30,22,9,20,23,24,25,32,12,35,31,14,15,4,13/E:(2,3)(11,12)(30,31,32)(37,38)/CRV:40.6/rA:40CCCOCCCCClCCNSOOCCCCClCCFFFCCCCCONCCNCCCCC/rB:s1;d2;s3;s4;d5;s6;d7;s8;s8;s5d10;s11;s12;d13;d13;s13;d16;s17;d18;s19;s19;s21;s22;s22;s22;s16d21;s3;d27;s28;s29;d30;s30;s32;s33;s34;s35;s36;s37;s35s38;s2d29;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL1925695;CHEMBL1925747,PMID:22047688,2011.0,PMID:22047688,2011,0.0,0.0,0;1,1;0,0,,=,  8.100;  6.300,7.2,0.9,0.9,2.0,7.2,0.9,papyrus
16,GRIFIHOPBXFUID_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207097,O=S(=O)(Nc1cc(F)ccc1Cn1ccnn1)c1ccc(Cl)c(Cl)c1,O=S(=O)(Nc1ccccc1Cn1ccnn1)c1ccccc1,allosteric,GRIFIHOPBXFUID,GRIFIHOPBXFUID-UHFFFAOYSA-N,"InChI=1S/C15H11Cl2FN4O2S/c16-13-4-3-12(8-14(13)17)25(23,24)20-15-7-11(18)2-1-10(15)9-22-6-5-19-21-22/h1-8,20H,9H2","""AuxInfo=1/0/N:10,9,19,20,15,14,6,25,12,11,7,18,21,23,5,22,24,8,16,4,17,13,1,3,2/E:(23,24)/CRV:25.6/rA:25OSONCCCFCCCCNCCNNCCCCClCClC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s2;d18;s19;d20;s21;s21;s23;s18d23;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.500,7.5,0.0,0.0,1.0,7.5,0.0,papyrus
18,,,ChEMBL30,CHEMBL4470785,Nc1nc2[nH]c(C3CC3)c(Cc3ccccc3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,YKJJHGIACRBDKH-UHFFFAOYSA-N,"InChI=1S/C15H15N5O/c16-14-18-15-17-12(10-6-7-10)11(13(21)20(15)19-14)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H3,16,17,18,19)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.27,,,,,,ChEMBL30_2019_22
21,,,ChEMBL30,CHEMBL4525646,Cc1nc2[nH]c(C3CC3)c(Cc3cccc(Cl)c3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,KBXVLCAVBCLNRV-UHFFFAOYSA-N,"InChI=1S/C16H15ClN4O/c1-9-18-16-19-14(11-5-6-11)13(15(22)21(16)20-9)8-10-3-2-4-12(17)7-10/h2-4,7,11H,5-6,8H2,1H3,(H,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.46,,,,,,ChEMBL30_2019_22
22,,,ChEMBL30,CHEMBL4519409,Nc1nc2[nH]c(C3CC3)c(Cc3cccc(F)c3)c(=O)n2n1,O=c1c(Cc2ccccc2)c(C2CC2)[nH]c2ncnn12,allosteric,,RHERUCCFYLYGOS-UHFFFAOYSA-N,"InChI=1S/C15H14FN5O/c16-10-3-1-2-8(6-10)7-11-12(9-4-5-9)18-15-19-14(17)20-21(15)13(11)22/h1-3,6,9H,4-5,7H2,(H3,17,18,19,20)",,P41597,P41597,,,31742400,2019.0,10.1021/acs.jmedchem.9b00742,,,,,,,,,,8.53,,,,,,ChEMBL30_2019_22
26,YOFIQLQDWMBWFW_on_P41597_WT,Medium,ChEMBL30,CHEMBL2207095,O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1csc2c1cccc2,O=S(=O)(Nc1ccccc1Cn1ccnn1)c1csc2ccccc12,allosteric,YOFIQLQDWMBWFW,YOFIQLQDWMBWFW-UHFFFAOYSA-N,"InChI=1S/C17H13ClN4O2S2/c18-13-6-5-12(10-22-8-7-19-21-22)15(9-13)20-26(23,24)17-11-25-16-4-2-1-3-14(16)17/h1-9,11,20H,10H2","""AuxInfo=1/0/N:24,25,23,26,10,9,15,14,6,12,19,11,7,22,5,21,18,8,16,4,17,13,1,3,20,2/E:(23,24)/CRV:26.6/rA:26OSONCCCClCCCCNCCNNCCSCCCCCC/rB:d1;d2;s2;s4;d5;s6;s7;d7;s9;s5d10;s11;s12;s13;d14;s15;s13d16;s2;d18;s19;s20;s18d21;s22;d23;s24;s21d25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL2213079,PMID:23079519,2012.0,PMID:23079519,2012,0.0,0.0,0,1,0,,=,  7.200,7.2,0.0,0.0,1.0,7.2,0.0,papyrus
27,RYKBAXLGJFVKHU_on_P41597_WT,Medium,ChEMBL30,CHEMBL130008,O=C(O)c1cc2c(cccc2F)n1Cc1cc(Cl)c(Cl)cc1,c1ccc(Cn2ccc3ccccc32)cc1,allosteric,RYKBAXLGJFVKHU,RYKBAXLGJFVKHU-UHFFFAOYSA-N,"InChI=1S/C16H10Cl2FNO2/c17-11-5-4-9(6-12(11)18)8-20-14-3-1-2-13(19)10(14)7-15(20)16(21)22/h1-7H,8H2,(H,21,22)","""AuxInfo=1/1/N:9,10,8,22,21,16,5,14,15,6,19,17,11,7,4,2,20,18,12,13,1,3/E:(21,22)/rA:22OCOCCCCCCCCFNCCCCClCClCC/rB:d1;s2;s2;d4;s5;d6;s7;d8;s9;s6d10;s11;s4s7;s13;s14;d15;s16;s17;d17;s19;s19;s15d21;/rC:;;;;;;;;;;;;;;;;;;;;;;""",P41597_WT,P41597,WT,CHEMBL655684,PMID:14698169,2004.0,PMID:14698169,2004,1.0,0.0,0,0,0,,=,  7.000,7.0,0.0,0.0,1.0,7.0,0.0,papyrus
