,Smiles,MW,LogP,NumHDonors,NumHAcceptors
0,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(F)cc1,350.4150000000001,4.615300000000003,2,4
1,Cc1cc(-n2cncn2)ccc1C(=O)Nc1ccc(N2CCCC2)cn1,348.4100000000002,2.823220000000001,1,6
2,CCCC1(C(=O)Nc2cccc(F)c2)CCc2c(c3ccccc3n2CC(=O)O)C1,408.4730000000001,4.778900000000004,2,3
3,CCCCOc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1.Cl,325.844,2.4728000000000008,2,6
4,CC[C@H]1C=CCC[C@@]2(C[C@@H]3CC[C@@H]4[C@H](C(=O)OCc5ccccc5)[C@]5(CCC[C@@H](C)O5)NC(=[N+]34)N2)O1,494.65600000000023,3.9688000000000025,2,6
5,CS(=O)(=O)c1[nH]nc(-c2ccccc2Cl)c1C#N,281.72400000000005,2.00528,1,4
6,COc1ccc(CC(=O)N2CCN(C)c3ncccc3C2)cc1.O=C(O)C(F)(F)F,425.4070000000001,2.7446,1,5
7,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4ccccc4)[nH]3)ccc21,442.5380000000001,5.393400000000005,1,4
8,Cn1c(NCC2CCCCC2)nc2cc(-c3ccsc3)sc2c1=O,359.52000000000004,4.7157000000000036,1,6
9,FC(F)(F)c1ccc(CN[C@H]2CC[C@@H](c3nnn4cnc5[nH]ccc5c34)CC2)cc1,414.4350000000002,4.440400000000003,2,5
10,O=C(NC1CCN(Cc2ccc3c(c2)OCCO3)CC1)c1ccc(-c2cccc(Cl)c2)s1,469.0060000000002,5.234100000000004,1,5
11,CC(C)(C)c1cc(/C=C/C(=O)c2ccco2)cc(/C=N/c2nccs2)c1O,380.46900000000005,5.385900000000004,1,6
12,O=C(Nc1cnc(-c2ccncc2)c(-c2ccncc2)n1)C1CC1,317.3520000000001,2.9491000000000014,1,5
13,NC(=S)N/N=C(\COc1ccc(F)c(Cl)c1)c1ccc(Br)cc1,416.70300000000003,3.8579000000000017,2,3
14,CC1(C)C(=O)Nc2ccccc2N1C(=O)COC(=O)c1cccs1,344.392,2.668800000000001,1,5
15,COc1ccc(Nc2nccc(-c3c[nH]nc3-c3cccnc3)n2)cc1,344.37800000000004,3.6809000000000003,2,6
16,COc1ccc(C(CNC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCCC3)c2)N2CCCC2)cc1,492.0410000000004,3.700000000000003,1,5
17,CC(=O)OC1OC(=O)C(Br)=C1Nc1ccc(-c2ccc(N)cc2)cc1,403.23200000000014,3.4002000000000008,2,6
18,Cc1ccc(C)c(CNC(=O)C2CCN(c3nc4ccccc4nc3C(F)(F)F)CC2)c1,442.4850000000001,4.798240000000004,1,4
19,COc1ccc(CNc2cc(-c3c[nH]c4ncccc34)cc(F)n2)cc1,348.3810000000001,4.384700000000002,2,4
20,N#Cc1c(O)nsc1Nc1cc(Br)ccc1OCc1ccccc1,402.27300000000014,4.805480000000003,2,6
21,CC(=O)NCc1ccc(C(=O)N2CCCC[C@@H]2Cn2cc(C)cn2)o1,344.415,2.11552,1,5
22,CCCCCCCCN1CCN(CC(O)(Cn2cncn2)c2ccc(F)cc2F)CC1,435.56300000000016,3.422200000000002,1,6
23,CCCCCCCCCCCCNc1cc(NCCN(C)C)ncn1,349.56700000000006,4.782900000000003,2,5
24,COc1cc(Nc2cccc(-c3ccccc3)n2)cc(OC)c1OC,336.39100000000013,4.518000000000004,1,5
25,Cc1nc(-c2cnn(C)c2)sc1C(=O)N[C@@H](C)COCC(C)C,336.4610000000002,2.642920000000001,1,6
26,CCOc1ccc(C2=NN(c3ccc(C(=O)O)cc3)C(c3ccc(OC)cc3)C2)cc1,416.47700000000015,5.147800000000005,1,5
27,O=C1C[C@@H](c2ccccc2)N(C(=O)CNS(=O)(=O)c2ccccc2)CCCCCN1,429.54200000000026,2.225,2,4
28,COc1ccc(/C=C/C(=O)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2C)cc1OC,446.5250000000003,2.6850200000000006,1,6
29,O=C(O)c1c2c(nc3ccc(F)cc13)-c1ccc(Oc3ccccc3)cc1C2,371.3670000000001,5.4356000000000035,1,3
30,CC(=O)NC(C)CCc1ccc(C(=O)Cn2ncc(Cl)c(Cl)c2=O)cc1,396.27400000000017,2.890200000000002,1,5
31,COCCOCC#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCN(C)CC4)ccc2-3)cs1,462.6190000000003,3.471300000000002,1,6
32,O=C(Nc1ccn(S(=O)(=O)C(F)c2ccccc2F)c1)c1ccccn1,377.37200000000007,3.120700000000001,1,5
33,CCN(CC)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Cl)cc12,416.9030000000001,5.4855000000000045,1,4
34,N#Cc1ccc(COC(=O)[C@H]2C[C@]3(CN2)C(=O)Nc2ccccc23)cc1Br,426.27000000000004,2.6159800000000004,2,5
35,CCC(CC)c1nnc(NC(=O)c2ccc(N3CCCC3=O)cc2)s1,358.46700000000016,3.820800000000003,1,5
36,O=C(CN1CCN(c2ccccc2F)CC1)Nc1cccnc1Cl,348.80899999999997,2.6348000000000003,1,4
37,COc1cc(NCCCC(C)=O)c2nccc(Cl)c2c1,292.766,3.677900000000003,1,4
38,CCOC(=O)C1C(=O)C=C(Nc2ccc(Cl)c(Cl)c2)CC1C,342.22200000000004,4.0774000000000035,1,4
39,O=C1C(=O)N(CCCNc2ccnc3cc(Cl)ccc23)c2cccc(Br)c21,444.7160000000001,4.682200000000002,1,4
40,Cc1ccccc1CN(Cc1ccc2c(c1)OCCO2)C(=O)c1cnc(N)o1,379.4160000000001,3.1790200000000013,1,6
41,O=S(=O)(O)c1cc(O)c(/N=C/c2ccccc2)c2ccccc12,327.36100000000005,3.5427000000000017,2,4
42,COc1ccccc1/C=C/C(=O)NNC(=O)c1cc(C)oc1C,314.3410000000001,2.3794399999999998,2,4
43,O=C(CCCN1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)Nc1ccc(Cl)cc1Cl,475.2470000000002,5.836700000000005,1,3
44,O=C(O)Cn1cnc2c3cccnc3n(-c3ccccc3)c(=O)c21,320.3080000000001,1.8199999999999998,1,6
45,O=C1N(CC(O)Cn2c3ccc(F)cc3c3cc(F)ccc32)CCCN1c1ccccc1,435.4740000000002,4.765900000000004,1,3
46,CC(C)=CCN1CCn2c(O)nc3cc(Cl)cc(c32)C1CC(C)C,347.89000000000016,4.764300000000005,1,4
47,CC1(C)C(=O)N(C2CCCCC2)c2nc(Nc3cccnc3)ncc21,337.427,3.5721000000000016,1,5
48,CC(C)(C)OC(=O)NC[C@H]1CCCN(C(=O)[C@@H]2CCC(=O)N2Cc2ccc(Br)cc2)C1,494.4300000000002,3.703400000000003,1,4
49,C(=N/Nc1nc(-c2ccc3ccccc3c2)cs1)\c1ccc2c(c1)OCO2,373.4370000000002,5.138000000000003,1,6
50,COc1ccc(Cl)cc1NC(=O)C1Cc2ccccc2CN1S(C)(=O)=O,394.88000000000017,2.6736000000000004,1,4
51,Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(-c2cccc(CN3CCN(C)CC3)c2)cc1,453.61200000000025,3.2521400000000016,1,6
52,O=C(COC(=O)/C=C/c1ccccc1Cl)NCCc1ccc(Cl)cc1Cl,412.70000000000016,4.562100000000004,1,3
53,c1ccc(CNCC2CCC3(CC2)OOC2(CCCCC2)OO3)cc1,347.4550000000001,4.233100000000004,1,5
54,CN1CCN(c2ccccc2CNC(=O)Cc2ccccc2F)CC1,341.43000000000006,2.4364,1,3
