Epoch	loss_train	loss_valid	valid_ratio	best_epoch
1	11.734	9.11	0.936	1
2	7.422	5.644	0.88	2
3	4.652	4.014	0.842	3
4	3.302	2.468	0.753	4
5	1.957	1.564	0.663	5
6	1.349	1.094	0.604	6
7	0.944	0.778	0.548	7
8	0.654	0.55	0.484	8
9	0.457	0.397	0.443	9
10	0.325	0.303	0.418	10
11	0.252	0.251	0.389	11
12	0.214	0.22	0.356	12
13	0.18	0.201	0.369	13
14	0.163	0.188	0.405	14
15	0.153	0.179	0.457	15
16	0.139	0.172	0.478	16
17	0.132	0.167	0.482	17
18	0.124	0.163	0.549	18
19	0.123	0.16	0.587	19
20	0.117	0.157	0.603	20
21	0.111	0.155	0.627	21
22	0.108	0.154	0.667	22
23	0.104	0.152	0.652	23
24	0.103	0.151	0.669	24
25	0.1	0.15	0.699	25
26	0.097	0.149	0.716	26
27	0.097	0.148	0.769	27
28	0.096	0.148	0.732	28
29	0.094	0.147	0.739	29
30	0.09	0.147	0.748	30
31	0.091	0.147	0.77	31
32	0.09	0.146	0.771	32
33	0.09	0.146	0.783	33
34	0.088	0.146	0.771	33
35	0.086	0.146	0.805	33
36	0.086	0.145	0.806	36
37	0.085	0.145	0.802	37
38	0.085	0.145	0.798	38
39	0.086	0.145	0.821	38
40	0.084	0.145	0.808	40
41	0.083	0.146	0.82	40
42	0.083	0.146	0.826	40
43	0.082	0.145	0.829	40
44	0.082	0.146	0.836	40
45	0.081	0.146	0.83	40
46	0.081	0.145	0.835	40
47	0.08	0.146	0.839	40
48	0.08	0.145	0.843	40
49	0.08	0.146	0.836	40
50	0.079	0.146	0.831	40
51	0.079	0.146	0.854	40
52	0.078	0.146	0.857	40
53	0.078	0.146	0.867	40
54	0.079	0.146	0.84	40
55	0.079	0.146	0.852	40
56	0.078	0.147	0.849	40
57	0.077	0.147	0.856	40
58	0.078	0.147	0.886	40
59	0.077	0.147	0.864	40
60	0.076	0.147	0.901	40
61	0.077	0.147	0.857	40
62	0.077	0.147	0.869	40
63	0.076	0.147	0.885	40
64	0.076	0.147	0.899	40
65	0.076	0.148	0.883	40
66	0.076	0.148	0.88	40
67	0.076	0.147	0.9	40
68	0.075	0.147	0.895	40
69	0.075	0.147	0.898	40
70	0.075	0.147	0.885	40
71	0.075	0.148	0.906	40
72	0.075	0.148	0.896	40
73	0.074	0.149	0.899	40
74	0.074	0.149	0.914	40
75	0.074	0.15	0.892	40
76	0.074	0.15	0.89	40
77	0.074	0.149	0.912	40
78	0.074	0.149	0.9	40
79	0.074	0.149	0.903	40
80	0.073	0.149	0.91	40
81	0.074	0.15	0.92	40
82	0.073	0.15	0.913	40
83	0.074	0.15	0.933	40
84	0.073	0.15	0.93	40
85	0.073	0.15	0.916	40
86	0.073	0.15	0.924	40
87	0.073	0.15	0.917	40
88	0.073	0.15	0.928	40
89	0.073	0.15	0.928	40
90	0.073	0.15	0.92	40
91	0.073	0.151	0.937	40
