Epoch	loss_train	loss_valid	valid_ratio	best_epoch
1	8.019	6.108	0.891	1
2	2.976	2.56	0.75	2
3	1.382	1.168	0.707	3
4	0.705	0.601	0.611	4
5	0.362	0.365	0.475	5
6	0.259	0.275	0.42	6
7	0.195	0.232	0.422	7
8	0.191	0.207	0.43	8
9	0.152	0.191	0.484	9
10	0.137	0.181	0.514	10
11	0.122	0.174	0.584	11
12	0.13	0.168	0.645	12
13	0.118	0.163	0.643	13
14	0.11	0.159	0.717	14
15	0.105	0.157	0.652	15
16	0.107	0.155	0.709	16
17	0.109	0.154	0.727	17
18	0.095	0.151	0.727	18
19	0.102	0.151	0.734	19
20	0.092	0.15	0.76	20
21	0.096	0.149	0.791	21
22	0.096	0.149	0.793	22
23	0.095	0.149	0.762	22
24	0.089	0.149	0.814	22
25	0.086	0.149	0.779	22
26	0.09	0.148	0.797	26
27	0.084	0.148	0.826	27
28	0.084	0.148	0.82	28
29	0.08	0.148	0.818	28
30	0.085	0.147	0.822	30
31	0.082	0.147	0.832	31
32	0.08	0.146	0.83	32
33	0.081	0.146	0.848	33
34	0.081	0.146	0.846	33
35	0.081	0.146	0.848	33
36	0.082	0.145	0.85	36
37	0.081	0.146	0.838	36
38	0.078	0.146	0.857	36
39	0.077	0.147	0.885	36
40	0.079	0.147	0.873	36
41	0.081	0.146	0.881	36
42	0.08	0.145	0.865	42
43	0.079	0.144	0.879	43
44	0.076	0.145	0.871	43
45	0.077	0.145	0.883	43
46	0.077	0.145	0.898	43
47	0.077	0.145	0.904	43
48	0.08	0.145	0.92	43
49	0.078	0.145	0.898	43
50	0.079	0.145	0.896	43
51	0.076	0.145	0.902	43
52	0.078	0.144	0.904	52
53	0.076	0.144	0.895	52
54	0.076	0.145	0.885	52
55	0.074	0.145	0.939	52
56	0.076	0.146	0.906	52
57	0.073	0.147	0.902	52
58	0.076	0.147	0.912	52
59	0.075	0.147	0.916	52
60	0.076	0.146	0.918	52
61	0.074	0.146	0.924	52
62	0.073	0.146	0.902	52
63	0.073	0.147	0.93	52
64	0.074	0.148	0.914	52
65	0.076	0.148	0.918	52
66	0.075	0.148	0.924	52
67	0.074	0.148	0.928	52
68	0.074	0.148	0.938	52
69	0.074	0.148	0.932	52
70	0.073	0.147	0.936	52
71	0.072	0.147	0.938	52
72	0.075	0.146	0.939	52
73	0.072	0.147	0.922	52
74	0.072	0.148	0.926	52
75	0.074	0.148	0.941	52
76	0.073	0.148	0.92	52
77	0.073	0.148	0.943	52
78	0.074	0.148	0.945	52
79	0.07	0.148	0.947	52
80	0.071	0.147	0.955	52
81	0.073	0.146	0.936	52
82	0.073	0.147	0.949	52
83	0.073	0.147	0.936	52
84	0.071	0.147	0.943	52
85	0.071	0.146	0.951	52
86	0.073	0.146	0.945	52
87	0.072	0.146	0.959	52
88	0.076	0.146	0.943	52
89	0.074	0.146	0.967	52
90	0.071	0.146	0.945	52
91	0.073	0.147	0.965	52
92	0.071	0.147	0.951	52
93	0.073	0.146	0.947	52
94	0.072	0.147	0.967	52
95	0.072	0.147	0.943	52
96	0.073	0.146	0.973	52
97	0.071	0.146	0.951	52
98	0.07	0.146	0.959	52
99	0.07	0.146	0.957	52
100	0.073	0.147	0.953	52
101	0.073	0.148	0.967	52
102	0.07	0.149	0.959	52
103	0.072	0.149	0.959	52
