Epoch	valid_ratio	unique_ratio	desired_ratio	avg_amean	avg_gmean	loss_train	best_epoch
1	0.98	0.88	0.78	0.774	0.723	0.047	1
2	0.95	0.91	0.88	0.832	0.81	0.046	2
3	0.92	0.88	0.84	0.819	0.792	0.051	2
4	0.93	0.89	0.88	0.836	0.817	0.044	2
5	0.96	0.95	0.9	0.814	0.787	0.05	5
6	0.96	0.93	0.9	0.809	0.781	0.049	5
7	0.96	0.93	0.87	0.819	0.784	0.041	5
8	0.93	0.9	0.84	0.81	0.781	0.062	5
9	0.9	0.85	0.82	0.833	0.81	0.069	5
10	0.89	0.88	0.8	0.793	0.759	0.066	5
11	0.95	0.91	0.85	0.795	0.761	0.048	5
12	0.95	0.93	0.85	0.81	0.774	0.05	5
13	0.96	0.94	0.89	0.814	0.782	0.045	5
14	0.9	0.89	0.82	0.808	0.772	0.06	5
15	0.94	0.91	0.89	0.81	0.792	0.065	5
16	0.91	0.88	0.83	0.828	0.805	0.058	5
17	0.93	0.93	0.91	0.821	0.799	0.05	17
18	0.95	0.9	0.87	0.83	0.806	0.062	17
19	0.95	0.93	0.9	0.821	0.797	0.038	17
20	0.92	0.9	0.87	0.811	0.786	0.058	17
21	0.93	0.92	0.89	0.838	0.812	0.069	17
22	0.94	0.92	0.87	0.814	0.784	0.056	17
23	0.9	0.85	0.83	0.821	0.801	0.062	17
24	0.91	0.87	0.85	0.821	0.801	0.053	17
25	0.97	0.97	0.94	0.829	0.803	0.055	25
26	0.95	0.93	0.91	0.853	0.835	0.053	25
27	0.95	0.94	0.91	0.827	0.805	0.055	25
28	0.92	0.91	0.88	0.841	0.825	0.053	25
29	0.9	0.9	0.89	0.852	0.839	0.061	25
30	0.97	0.93	0.92	0.855	0.838	0.051	25
