Epoch	SMILES	Valid	Desired	CDPKit_ROCS_TanimotoCombo	SA
1	Oc1cc(CSc2cccc(F)c2F)nc2nc(C3CCCCC3)nn12	1.0	1	0.611	0.909
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)C(CC)c3ccccc3)c3c2cccc3)CC1	1.0	0	0.005	0.911
1	CNS(=O)(=O)c1cccc(CNC(=O)Nc2ccccc2)c1	1.0	1	0.58	0.989
1	COc1nn(CC(=O)O)c2c1c(NS(=O)(=O)c1cccc(Cl)c1Cl)ncn2	1.0	1	0.723	0.931
1	CC(C)c1nc2nc(N)nn2c(O)c1Cc1cc(Br)cc(C(F)(F)F)c1	1.0	1	0.938	0.883
1	CC(=O)NCc1cc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3ccccc32)ccc1	1.0	1	0.471	0.958
1	O=C(O)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1	0.743	0.984
1	O=C(NS(=O)(=O)c1cc(Cl)ccc1)NS(=O)(=O)c1ccc(Cl)cc1	1.0	1	0.509	0.98
1	CC1NC(=O)NC1(O)F	1.0	0	0.206	0.247
1	CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2c[n+]([O-])c(C)cc2)cc1	1.0	1	0.635	0.954
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CO)c1	1.0	1	0.64	0.95
1	CNS(=O)(=O)c1ccc(CNC(=O)c2cccc3c2cnn3-c2ccc(F)cc2)cc1	1.0	1	0.507	0.975
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)CC(C)(C)C)c3c2cccc3)CC1	1.0	1	0.449	0.96
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2c(O)c(-c2ccccc2)cc2)cc1	0.0	0	0.0	0.0
1	O=C(O)c1ccccc1Oc1c(F)cc(C(F)(F)F)cc1NS(=O)(=O)c1ccc(Cl)cc1	1.0	1	0.8	0.965
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	1	0.678	0.977
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cccnc2)cc1	1.0	1	0.669	0.977
1	Cc1c(C(=O)Nc2ccc(S(=O)(=O)NC3CCN(C(=O)CCCN4CCOCC4)CC3)c3c2cccc3)cccc1	1.0	0	0.005	0.952
1	O=C(NCCN1CCCCC1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)s2)cc1	1.0	0	0.303	0.965
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CO)c1	1.0	1	0.64	0.95
1	O=S1(=O)NC(Nc2ccccc2F)=Nc2c1cc(Cl)cc2O	1.0	1	0.73	0.877
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cc(Cl)c(Cl)cc1	1.0	1	0.945	0.963
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cc(Cl)c(Cl)cc1	1.0	1	0.945	0.963
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2c[n+]([O-])cc(C(=O)NCCN3CCCC3)c2)cc1	1.0	0	0.005	0.921
