Epoch	valid_ratio	unique_ratio	desired_ratio	avg_amean	avg_gmean	loss_train	best_epoch
1	0.97	0.9	0.19	0.549	0.359	0.045	1
2	0.92	0.89	0.16	0.55	0.363	0.05	1
3	0.96	0.89	0.21	0.557	0.382	0.051	3
4	0.93	0.9	0.15	0.546	0.361	0.051	3
5	0.91	0.86	0.14	0.545	0.357	0.05	3
6	0.93	0.9	0.13	0.536	0.349	0.052	3
7	0.89	0.79	0.1	0.541	0.34	0.047	3
8	0.97	0.88	0.15	0.535	0.341	0.076	3
9	0.93	0.88	0.27	0.568	0.393	0.054	9
10	0.95	0.87	0.17	0.549	0.37	0.059	9
11	0.87	0.82	0.21	0.556	0.377	0.055	9
12	0.86	0.84	0.11	0.546	0.361	0.047	9
13	0.89	0.87	0.11	0.54	0.348	0.06	9
14	0.93	0.9	0.15	0.534	0.347	0.065	9
15	0.91	0.89	0.17	0.553	0.369	0.05	9
16	0.87	0.86	0.13	0.544	0.35	0.042	9
17	0.9	0.89	0.15	0.545	0.355	0.056	9
18	0.98	0.94	0.19	0.553	0.375	0.054	9
19	0.94	0.9	0.23	0.547	0.368	0.058	9
20	0.89	0.85	0.19	0.552	0.375	0.06	9
21	0.85	0.84	0.13	0.545	0.354	0.053	9
22	0.92	0.86	0.13	0.551	0.366	0.056	9
23	0.92	0.88	0.17	0.553	0.367	0.046	9
24	0.95	0.94	0.1	0.545	0.352	0.051	9
25	0.97	0.94	0.24	0.558	0.381	0.051	9
26	0.91	0.88	0.28	0.566	0.403	0.052	26
27	0.93	0.91	0.21	0.563	0.38	0.047	26
28	0.96	0.93	0.26	0.563	0.385	0.045	26
29	0.97	0.93	0.29	0.568	0.396	0.054	29
30	0.89	0.86	0.14	0.563	0.373	0.056	29
