Epoch	valid_ratio	unique_ratio	desired_ratio	avg_amean	avg_gmean	loss_train	best_epoch
1	0.97	0.9	0.14	0.625	0.394	0.049	1
2	0.89	0.85	0.16	0.609	0.378	0.048	2
3	0.91	0.9	0.24	0.626	0.402	0.05	3
4	0.93	0.85	0.23	0.636	0.408	0.049	3
5	0.93	0.91	0.19	0.623	0.388	0.054	3
6	0.94	0.9	0.22	0.63	0.401	0.051	3
7	0.93	0.89	0.27	0.636	0.406	0.054	7
8	0.96	0.93	0.26	0.645	0.418	0.049	7
9	0.95	0.94	0.22	0.634	0.4	0.041	7
10	0.92	0.85	0.21	0.634	0.403	0.045	7
11	0.92	0.86	0.17	0.643	0.412	0.051	7
12	0.95	0.86	0.16	0.638	0.408	0.028	7
13	0.92	0.83	0.18	0.621	0.393	0.055	7
14	0.94	0.91	0.21	0.62	0.389	0.059	7
15	0.97	0.89	0.21	0.639	0.41	0.059	7
16	0.9	0.85	0.22	0.63	0.406	0.05	7
17	0.91	0.83	0.17	0.651	0.415	0.044	7
18	0.9	0.87	0.14	0.64	0.399	0.06	7
19	0.93	0.88	0.17	0.636	0.401	0.061	7
20	0.96	0.95	0.2	0.635	0.402	0.06	7
21	0.97	0.94	0.19	0.643	0.401	0.049	7
22	0.96	0.94	0.22	0.645	0.412	0.053	7
23	0.9	0.87	0.22	0.637	0.405	0.047	7
24	0.95	0.93	0.2	0.637	0.408	0.055	7
25	0.97	0.96	0.18	0.636	0.399	0.053	7
26	0.93	0.88	0.18	0.637	0.406	0.044	7
27	0.86	0.86	0.2	0.643	0.414	0.05	7
28	0.94	0.87	0.28	0.64	0.416	0.055	28
29	0.93	0.87	0.25	0.661	0.429	0.062	28
30	0.94	0.87	0.29	0.644	0.414	0.058	30
