Epoch	SMILES	Valid	Desired	ROCS_CCR2_SDF	ROCS_Model3-4_SQ	SA
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2cccc3c2C(=O)N(Cc2cnccc2)C3=O)cc1	1.0	0	0.823	0.08	0.967
1	O=C(O)c1ccccc1Oc1c(F)cccc1[O-]	1.0	0	0.924	0.049	0.956
1	COc1nc(Br)cnc1NS(=O)(=O)c1ccccc1Cl	1.0	0	0.947	0.082	0.963
1	O=C(C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1c1cc(Br)ccc1N)=CN	0.0	0	0.0	0.0	0.0
1	CC(=O)NCc1cc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3ccccc32)ccc1	1.0	0	0.766	0.054	0.958
1	N#Cc1cnc(NS(=O)(=O)c2ccc(Cl)cc2)c(C(F)F)cc1	0.0	0	0.0	0.0	0.0
1	CC(C)c1nc2nc(N)nn2c(O)c1Cc1cc(Cl)cc(Cl)c1	1.0	1	1.0	0.149	0.908
1	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(OC(=O)c3ccccc3)c3c2cccc3)CC1	1.0	0	0.57	0.057	0.971
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3nccnc3)c3c2cccc3)CC1	1.0	0	0.518	0.058	0.957
1	Cc1cc[n+]([O-])cc1CN1C(=O)c2c(C1=O)c(NS(=O)(=O)c1ccc(C(C)(C)C)cc1)ccc2Cl	1.0	0	0.676	0.079	0.896
1	O=C(O)c1ccccc1Oc1c(F)cc(C(F)(F)F)cc1NS(=O)(=O)c1ccc(F)c(Cl)c1	1.0	1	0.941	0.108	0.956
1	COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	0	0.949	0.092	0.983
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncn2)cc1	1.0	0	0.932	0.079	0.967
1	CC1CCN(C(=O)C(CCn2cccc2)NS(=O)(=O)c2cc(Cl)c(N)c(Cl)c2)CC1	1.0	0	0.823	0.07	0.848
1	CC(C)n1ccc2c(NS(=O)(=O)c3ccc(Cl)s3)cccc21	1.0	0	0.894	0.084	0.959
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CO)c1	1.0	0	0.922	0.086	0.95
1	Cc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2Cn2ccnn2)cc1C	1.0	1	0.989	0.101	0.965
1	COc1ccc2c(c1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)cnn2C	1.0	1	0.952	0.125	0.96
1	O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3cc(Cl)c(Cl)cc3)CC2)CC1	1.0	0	0.423	0.044	0.959
1	Cn1nnnc1Cc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.988	0.104	0.937
1	CCC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCCCC1	1.0	0	0.998	0.089	0.912
1	Nc1nn2c(O)c(Cc3cccc(Cl)c3)c(C3CCCCC3)nc2n1	1.0	1	0.999	0.208	0.926
1	COc1c(C)cc(F)cc1C(=O)CCCCCCN(C)C	1.0	0	0.734	0.037	0.976
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncn2)cc1	1.0	0	0.932	0.079	0.967
1	O=S1(=O)NC(Nc2ccccc2Oc2ccccc2)=Nc2c1cc(Cl)cc2O	1.0	0	0.875	0.06	0.913
1	CCc1cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccn1	1.0	0	0.846	0.083	0.968
1	CCCn1c(O)nc2c1cc(OC)c(NS(=O)(=O)c1c(Cl)c(Cl)ccc1)c2	1.0	1	0.954	0.103	0.946
1	Cc1nc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(-c3cnco3)cc2)ccc1	1.0	0	0.907	0.088	0.957
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cccc2nonc12	1.0	0	0.978	0.088	0.935
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccccc1	1.0	0	0.986	0.097	0.973
1	C=CCN(C(=O)Nc1ccc(C#N)cc1)C1CCN(CCC2(c3cccc(F)c3)CCN(C(=O)c3cc(S(=O)(=O)NC(C)(C)C)c(F)cc3Cl)CC2)CC1	1.0	0	0.005	0.005	0.774
1	CC(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2c[n+]([O-])c(C)cc2)cc1	1.0	0	0.872	0.062	0.954
1	CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2)C1C1CCCCC1	1.0	0	1.0	0.092	0.927
1	Cc1ncccc1C(=O)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(C#N)cc1	1.0	0	0.943	0.077	0.973
1	CNc1c(-c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nccc1	1.0	0	0.953	0.086	0.965
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(-c2cnco2)cc1	1.0	0	0.912	0.086	0.964
1	CC(C)c1nc2nc(N)nn2c(O)c1Cc1cccc(Cl)c1	1.0	1	1.0	0.147	0.929
1	O=S(=O)(Nc1cc(F)ccc1Cn1ccnn1)c1ccc(Cl)c(Cl)c1	1.0	0	0.99	0.095	0.962
