Epoch	valid_ratio	unique_ratio	desired_ratio	avg_amean	avg_gmean	loss_train	best_epoch
1	0.95	0.88	0.85	0.885	0.867	0.05	1
2	0.92	0.85	0.82	0.872	0.851	0.046	1
3	0.93	0.88	0.85	0.877	0.858	0.05	1
4	0.95	0.92	0.89	0.889	0.871	0.051	4
5	0.94	0.87	0.82	0.862	0.837	0.047	4
6	0.88	0.84	0.84	0.887	0.88	0.064	4
7	0.92	0.83	0.76	0.868	0.838	0.063	4
8	0.9	0.87	0.84	0.885	0.869	0.054	4
9	0.93	0.9	0.88	0.891	0.877	0.074	4
10	0.9	0.89	0.84	0.86	0.835	0.049	4
11	0.87	0.84	0.8	0.873	0.85	0.062	4
12	0.86	0.86	0.82	0.886	0.864	0.054	4
13	0.97	0.93	0.93	0.906	0.901	0.055	13
14	0.89	0.84	0.78	0.872	0.843	0.06	13
15	0.97	0.95	0.91	0.881	0.859	0.057	13
16	0.94	0.93	0.92	0.903	0.895	0.048	13
17	0.96	0.91	0.88	0.886	0.869	0.051	13
18	0.96	0.92	0.88	0.885	0.872	0.06	13
19	0.98	0.96	0.96	0.907	0.903	0.048	19
20	0.93	0.87	0.83	0.884	0.867	0.052	19
21	0.98	0.95	0.93	0.884	0.871	0.057	19
22	0.94	0.91	0.86	0.868	0.845	0.05	19
23	0.94	0.91	0.9	0.899	0.889	0.041	19
24	0.89	0.87	0.85	0.893	0.884	0.061	19
25	0.91	0.87	0.85	0.895	0.887	0.073	19
26	0.91	0.86	0.85	0.903	0.893	0.052	19
27	0.91	0.88	0.87	0.908	0.899	0.061	19
28	0.93	0.91	0.9	0.908	0.903	0.056	19
29	0.96	0.94	0.92	0.912	0.9	0.067	19
30	0.93	0.92	0.92	0.909	0.905	0.054	19
