Epoch	SMILES	Valid	Desired	RDKit_Aggregate_TanimotoCombo	SA
1	COc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	1	0.908	0.983
1	Oc1cc(CSc2ccc(Cl)cc2Cl)nc2nc(O)cn12	1.0	1	0.987	0.886
1	COc1ccc2c(c1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)cnn2C	1.0	1	0.921	0.96
1	Cc1ncc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)c3c[nH]c(Cl)c3)cc2)cc1	1.0	1	0.785	0.916
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1ccccc1	1.0	1	0.829	0.965
1	CCOc1ccc(N2C(=O)C(Oc3ccc(C(C)(C)C)cc3)C2=O)cc1	1.0	1	0.894	0.968
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCCC2)cc1	1.0	1	0.846	0.977
1	COc1nc(Cl)cnc1NS(=O)(=O)c1cccc(Cl)c1	1.0	1	0.891	0.967
1	CCCCn1cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc1	0.0	0	0.0	0.0
1	CNC(=O)c1c(C)cnc1NS(=O)(=O)c1cccc(Cl)c1Cl	0.0	0	0.0	0.0
1	Nc1nn2c(O)c(Cc3ccc(Cl)cc3)c(C3CC3)nc2n1	1.0	1	1.0	0.93
1	COc1nc(Cl)cnc1NS(=O)(=O)c1c(Cl)csc1Cl	1.0	1	0.861	0.862
1	COC(=O)CCc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccnc(C)c2)cc1	1.0	1	0.835	0.97
1	COc1ccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c2cccc3OC)cc1OC	1.0	1	0.781	0.955
1	CC(=O)NCc1cc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3ccccc32)ccc1	1.0	1	0.787	0.958
1	COc1ccc(Cn2nc(NS(=O)(=O)c3ccc(Cl)s3)c3c2cccc3C)cc1	1.0	1	0.82	0.96
1	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)nc(O)n2C(C)C	1.0	1	0.967	0.937
1	Cc1ccc(-n2nc(NS(=O)(=O)c3ccc(Cl)cc3)c3c2cccc3)cc1	1.0	1	0.879	0.98
