Epoch	valid_ratio	unique_ratio	desired_ratio	avg_amean	avg_gmean	loss_train	best_epoch
1	0.95	0.9	0.41	0.573	0.431	0.052	1
2	0.95	0.91	0.45	0.577	0.43	0.046	2
3	0.95	0.91	0.46	0.593	0.448	0.046	3
4	0.88	0.86	0.4	0.589	0.447	0.052	3
5	0.92	0.92	0.44	0.585	0.435	0.052	3
6	0.93	0.9	0.51	0.585	0.455	0.051	6
7	0.88	0.86	0.44	0.59	0.449	0.054	6
8	0.93	0.91	0.48	0.59	0.456	0.046	6
9	0.97	0.87	0.44	0.58	0.435	0.064	6
10	0.95	0.86	0.41	0.582	0.438	0.045	6
11	0.86	0.83	0.4	0.593	0.45	0.062	6
12	0.93	0.92	0.44	0.588	0.445	0.05	6
13	0.91	0.89	0.41	0.575	0.439	0.057	6
14	0.88	0.88	0.37	0.579	0.425	0.052	6
15	0.89	0.85	0.34	0.572	0.412	0.06	6
16	0.89	0.87	0.41	0.589	0.446	0.052	6
17	0.96	0.95	0.44	0.573	0.425	0.054	6
18	0.94	0.91	0.5	0.585	0.438	0.05	6
19	0.9	0.89	0.49	0.584	0.437	0.053	6
20	0.93	0.93	0.42	0.582	0.437	0.055	6
21	0.93	0.92	0.47	0.585	0.443	0.051	6
22	0.93	0.88	0.53	0.588	0.457	0.049	22
23	0.95	0.9	0.42	0.583	0.423	0.052	22
24	0.93	0.91	0.43	0.591	0.447	0.047	22
25	0.92	0.87	0.39	0.584	0.436	0.055	22
26	0.96	0.93	0.52	0.601	0.466	0.042	22
27	0.94	0.91	0.52	0.597	0.457	0.05	22
28	0.94	0.93	0.48	0.588	0.445	0.054	22
29	0.91	0.9	0.53	0.605	0.465	0.053	22
30	0.96	0.95	0.47	0.605	0.471	0.055	22
