Epoch	SMILES	Valid	Desired	RDKit_Supermolecule_TanimotoCombo	SA
1	Oc1c(Cc2cccc(Cl)c2)c(C2CC2)nc2ncnn12	1.0	1	0.569	0.93
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccc(Cl)s1	1.0	1	0.356	0.947
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3nccnc3)c3c2cccc3)CC1	1.0	0	0.148	0.957
1	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)nc(O)n2C1COC1	1.0	1	0.324	0.913
1	Cc1[n+]([O-])cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(OC(C)C)cc2)cc1	1.0	0	0.169	0.949
1	Oc1c(Cc2cccc(Cl)c2)c(C2CCCCC2)ccn1	1.0	1	0.298	0.963
1	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(OC(=O)c3ccccc3)c3c2cccc3)CC1	1.0	0	0.144	0.971
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3)c3c2cccc3)CC1	1.0	0	0.135	0.974
1	O=[N+]([O-])c1cc(O)c2N=C(Nc3c(Cl)cccc3)NS(=O)(=O)c2c1	1.0	0	0.082	0.865
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCC2)cc1	1.0	0	0.179	0.978
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3C)c3ccccc3c2)CC1	0.0	0	0.0	0.0
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCCC2)cc1	1.0	0	0.183	0.977
1	Cc1c(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)cccn1	1.0	1	0.213	0.973
1	COc1cc(C(=O)NCCN2CCCCC2)ccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1	1.0	0	0.005	0.948
1	CNc1c(-c2cc(Cl)ccc2NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nccn1	1.0	1	0.342	0.96
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncn2)cc1	1.0	1	0.234	0.967
1	Cc1cccc(Cl)c1S(=O)(=O)NCCN1CCC(NS(=O)(=O)c2ccc(NC(=O)Cc3ccccc3)c3c2cccc3)CC1	1.0	0	0.005	0.939
1	O=C(NCCO)c1ccccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.27	0.964
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2c(O)c(CO)ccn2)cc1	1.0	1	0.299	0.952
1	Cc1ccc(N2C(=O)C(O)=C(C(=O)C3CC3)C2C2CCCCC2)cc1	1.0	1	0.464	0.914
1	CSCCc1c(O)cc(-c2cc(Cl)ccc2)cc1	1.0	0	0.106	0.98
1	CC(=O)Nc1ccc(S(=O)(=O)NCCc2csc(-c3cnccc3)n2)cc1	1.0	0	0.117	0.974
1	O=C(NCCNC(=O)c1ccc(S(=O)(=O)F)cc1)c1ccc(C(F)(F)F)cc1	1.0	0	0.097	0.979
1	Cc1ccccc1C(=O)Nc1ccc(N2CCN(C(=O)c3ccccc3)CC2)cc1	1.0	0	0.099	0.989
1	CN(C)CC(O)COc1ccccc1C(S)=N[N+](=O)[O-]	1.0	0	0.154	0.792
1	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3ccccc3)n3c2cccc2)CC1	0.0	0	0.0	0.0
1	COc1c(NS(=O)(=O)c2ccc(Cl)s2)nc(Cl)c(Cl)n1	1.0	0	0.154	0.931
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccc(Cl)c(Cl)c1	1.0	1	0.331	0.963
1	Cc1cc(O)c2N=C(Nc3c(Br)cccc3)NS(=O)(=O)c2c1	1.0	0	0.104	0.864
1	N#Cc1cccn1CCC(NS(=O)(=O)c1cc(Cl)c(N)c(Cl)c1)C(=O)N1CCC(NC2CCC3C=N3)CC2C1	1.0	0	0.005	0.048
1	Oc1cc(CSc2ccc(F)c(F)c2)nc2nc(Cc3ccccc3)nn12	1.0	1	0.288	0.945
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc(S(C)(=O)=O)ncc2)cc1	1.0	1	0.233	0.957
1	Oc1cc(CSc2ccc(Cl)cc2Cl)nc2nc(Cc3ccccc3)nn12	1.0	0	0.14	0.945
1	CCOC(=O)N1CCC(NS(=O)(=O)c2ccc(C(=O)Nc3ccccc3C)c3ccccc23)CC1	1.0	0	0.148	0.97
1	Nc1nn2c(O)c(Cc3cccc(Cl)c3)c(C3CC3)nc2n1	1.0	1	0.591	0.922
1	Cc1cc(CN2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cnc1	1.0	0	0.16	0.942
1	O=C(c1cnc(Cl)cc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(OC(F)(F)F)cc1	1.0	1	0.208	0.967
1	COc1nc(CO)c(Cl)cc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	0	0.155	0.953
1	O=[N+]([O-])c1cc(O)c2N=C(Nc3c(Cl)cccc3)NS(=O)(=O)c2c1	1.0	0	0.082	0.865
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)CC3CCCC3)c3ccccc23)CC1	1.0	0	0.139	0.962
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3c(C(F)(F)F)oc(C)c3)c3c2cccc3)CC1	1.0	0	0.005	0.93
1	CC(C)(c1ncco1)c1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	1.0	1	0.388	0.93
1	Cc1ccc(C(=O)c2c(C)nn(C(C)=O)c2C)c2ccccc12	1.0	1	0.214	0.96
1	Cc1c(C(=O)Nc2ccc(S(=O)(=O)NC3CCN(C(=O)N(C)C)CC3)c3c2cccc3)cccc1	1.0	0	0.151	0.965
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2-c2c(O)c(CO)ccn2)cc1	1.0	1	0.299	0.952
1	CC1CCCN(C(=O)C(CCn2cccc2C#N)NS(=O)(=O)c2cc(Cl)c(N)c(Cl)c2)C1	1.0	1	0.295	0.699
1	O=S(=O)(NCCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1	1.0	0	0.113	0.973
1	Cc1c(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cccn1	1.0	0	0.132	0.943
1	N#Cc1cccn1CCC(NS(=O)(=O)c1cccc2c1cc[nH]2)C(=O)N1CCC(C(F)(F)F)CC1	1.0	1	0.245	0.752
1	COc1nn(C)c2c1c(NS(=O)(=O)c1cccc(Cl)c1Cl)nc(Nc1c(F)cccc1)c1c2cccc1	0.0	0	0.0	0.0
1	O=[N+]([O-])c1cc(O)c2N=C(Nc3ccccc3Br)NS(=O)(=O)c2c1	1.0	0	0.082	0.845
1	COc1cc2c(cc1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)nc(O)n2C1COC1	1.0	1	0.324	0.913
1	COc1ccc(C(=O)NCCc2ccccc2)cc1Cl	1.0	0	0.108	0.993
1	Cc1noc(C)c1-c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccncc2)cc1	1.0	0	0.185	0.964
1	COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CO)c1	1.0	1	0.24	0.95
1	CC(=O)C1=C(O)C(=O)N(c2cc(F)c(F)cc2F)C1C1CCCCC1	1.0	1	0.303	0.873
1	O=S(=O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1ccc(Cl)c(Cl)c1	1.0	1	0.331	0.963
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCSCC2)cc1	1.0	0	0.166	0.963
1	CCCC(=O)C1=C(O)C(=O)N(c2ccc(C)cc2)C1C1CCCCC1	1.0	1	0.447	0.91
1	N#Cc1cccn1CCC(NS(=O)(=O)c1cc(Cl)c(N)c(Cl)c1)C(=O)N1CCC(C(F)(F)F)CC1	1.0	1	0.226	0.737
1	COc1ncc(Cl)nc1NS(=O)(=O)c1cccc(Cl)c1Cl	1.0	0	0.157	0.955
1	COc1ccccc1Cn1nc(NS(=O)(=O)c2ccc(Cl)s2)c2c1cccc2OC	1.0	1	0.282	0.957
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1cc2c(cc1)CCNC(=O)N2Cc1ccc(C(=O)Occc2Cl)cc1	0.0	0	0.0	0.0
1	C=CCOc1c(OC)cc(C=NNc2c([N+](=O)[O-])cc(C(=O)NCC)cc2)cc1	1.0	0	0.157	0.964
1	Cc1nc2nc(N)nn2c(O)c1Cc1ccccc1	1.0	1	0.31	0.961
1	COC(=O)CCc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cccc(C#N)c2)cc1	1.0	1	0.202	0.971
1	Cc1cc(C(=O)c2cc(Cl)ccc2NS(=O)(=O)c2ccc(S(C)(=O)=O)cc2)cc[n+]1[O-]	1.0	0	0.189	0.944
1	Nc1nn2c(O)c(Cc3cccc(F)c3)c(C3CC3)nc2n1	1.0	1	0.627	0.921
1	Cc1cc(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)ncc1	1.0	0	0.145	0.943
1	O=C(C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1C1CCCCC1)c1ccccc1	1.0	1	0.376	0.904
1	CC(=O)NC(=O)NC(=O)COc1c(Cl)ccc1Cl	0.0	0	0.0	0.0
1	O=C(NCCO)c1ccccc1Oc1ncc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1	1.0	1	0.248	0.95
1	CC(C)c1nc2nc(N)nn2c(O)c1Cc1ccc(Cl)c(Cl)c1	1.0	1	0.501	0.923
1	Cc1c(N2C(=O)c3c(C2=O)c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)ccc3Cl)cccn1	1.0	0	0.132	0.943
1	COc1ccc2c(c1NS(=O)(=O)c1c(Cl)c(Cl)ccc1)cnn2C	1.0	1	0.232	0.96
1	CC(C)(C)c1ccc(S(=O)(=O)Nc2cccc3c2C(=O)N(Cc2cnccc2)C3=O)cc1	1.0	0	0.152	0.967
