Epoch	valid_ratio	unique_ratio	desired_ratio	avg_amean	avg_gmean	loss_train	best_epoch
1	0.862	0.84	0.365	0.61	0.535	0.015	1
2	0.915	0.91	0.372	0.625	0.545	0.094	2
3	0.9	0.892	0.35	0.632	0.55	0.104	2
4	0.97	0.97	0.37	0.636	0.554	0.078	2
5	0.955	0.952	0.382	0.64	0.558	0.089	5
6	0.955	0.952	0.385	0.644	0.558	0.076	6
7	0.932	0.932	0.398	0.647	0.565	0.089	7
8	0.965	0.955	0.388	0.645	0.561	0.091	7
9	0.968	0.955	0.415	0.647	0.562	0.1	9
10	0.955	0.95	0.425	0.652	0.568	0.077	10
11	0.962	0.948	0.428	0.65	0.566	0.072	11
12	0.975	0.952	0.445	0.651	0.566	0.087	12
13	0.962	0.955	0.375	0.652	0.564	0.089	12
14	0.97	0.945	0.422	0.655	0.57	0.085	12
15	0.955	0.942	0.435	0.653	0.565	0.09	12
16	0.972	0.958	0.43	0.653	0.567	0.089	12
17	0.978	0.96	0.505	0.659	0.577	0.081	17
18	0.978	0.97	0.408	0.652	0.564	0.082	17
19	0.98	0.97	0.445	0.655	0.568	0.086	17
20	0.978	0.972	0.515	0.658	0.574	0.083	20
21	0.99	0.982	0.49	0.656	0.571	0.086	20
22	0.975	0.952	0.43	0.654	0.569	0.091	20
23	0.978	0.962	0.45	0.657	0.572	0.087	20
24	0.97	0.962	0.432	0.657	0.571	0.08	20
25	0.985	0.972	0.45	0.657	0.569	0.085	20
26	0.985	0.97	0.46	0.658	0.572	0.085	20
27	0.988	0.98	0.468	0.658	0.574	0.08	20
28	0.982	0.975	0.428	0.66	0.572	0.086	20
29	0.978	0.948	0.41	0.652	0.562	0.082	20
30	0.988	0.962	0.455	0.658	0.571	0.082	20
31	0.988	0.968	0.49	0.659	0.574	0.079	20
32	0.985	0.97	0.43	0.655	0.567	0.078	20
33	0.975	0.968	0.425	0.653	0.564	0.085	20
34	0.995	0.975	0.44	0.659	0.571	0.081	20
35	0.98	0.968	0.452	0.659	0.572	0.078	20
36	0.985	0.968	0.395	0.656	0.566	0.073	20
37	0.98	0.965	0.432	0.659	0.569	0.089	20
38	0.978	0.968	0.46	0.661	0.576	0.082	20
39	0.985	0.962	0.48	0.663	0.578	0.085	20
40	0.995	0.975	0.46	0.663	0.577	0.072	20
41	0.985	0.972	0.458	0.661	0.575	0.088	20
42	0.992	0.985	0.535	0.665	0.583	0.09	42
43	0.98	0.968	0.505	0.664	0.581	0.08	42
44	0.99	0.97	0.475	0.663	0.578	0.084	42
45	0.985	0.978	0.462	0.661	0.575	0.082	42
46	0.995	0.982	0.518	0.665	0.582	0.079	42
47	0.98	0.965	0.495	0.662	0.574	0.083	42
48	0.975	0.962	0.507	0.667	0.584	0.078	42
49	0.985	0.975	0.498	0.664	0.581	0.082	42
50	0.982	0.968	0.488	0.666	0.581	0.078	42
