Epoch	SMILES	Valid	Desired	ROCS	SA
1	Cc1nc(CS(=O)(=O)c2ccc(Cl)cc2)ccc1Oc1ccccc1F	1.0	1	0.47	0.974
1	COc1nn(C2COC(C)(C)O2)c(=O)n1[O-]	1.0	1	0.476	0.299
1	CCCC(=O)N1CCC(NS(=O)(=O)c2ccc(NC(=O)c3cccnc3)c3ccccc23)CC1	1.0	1	0.499	0.966
1	CCCCC(C(=O)NC(CC(C)C)C(N)=O)N(C)C(=O)C1CCC(=O)N1C	1.0	1	0.399	0.689
1	CCCCCC=CCC=CCC=CCC=CCCCNC1=NCCN1C	1.0	0	0.33	0.815
1	CC(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2ccccn2)cc1	1.0	1	0.516	0.979
1	O=C(NCCN1CCCCC1)c1cc2ccccc2cn1	1.0	1	0.485	0.984
1	CC(C)(C)NS(=O)(=O)c1ccccc1Cl	1.0	1	0.376	0.986
1	O=C(NCCN1CCNCC1)c1cccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1	1.0	1	0.454	0.946
1	O=C(NCc1ccccc1)c1cc(I)ccc1NC(=O)c1cc[n+]([O-])cc1	1.0	1	0.473	0.97
1	Cc1c(C(=O)Nc2cc(Cl)ccc2O)sc2ccccc12	1.0	1	0.506	0.983
1	CC(=O)C1=C(O)C(=O)N(c2ccc(C)c(C)c2)C1C1CCCCC1	1.0	1	0.518	0.916
1	CC1(c2ccc(S(=O)(=O)Nc3ccc(Cl)cc3C(=O)c3cc[n+]([O-])cc3)cc2)OCCO1	1.0	1	0.533	0.914
1	CC1CCN(C(=O)C(CCn2cccc2C#N)NS(=O)(=O)c2cc(Cl)c(N)c(Cl)c2)CC1	1.0	1	0.502	0.801
1	O=C(c1ccncc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(N2CCOCC2)cc1	1.0	1	0.527	0.973
1	COc1nc(Br)cnc1NS(=O)(=O)c1cc(Cl)c(Cl)s1[S-]	0.0	0	0.0	0.0
